Orthogroup	AY521625.1	MT521409.1
OG0000000	AY521625.1_00091	MT521409.1_00103
OG0000001	AY521625.1_00064	MT521409.1_00081
OG0000003	AY521625.1_00077	MT521409.1_00082
OG0000004	AY521625.1_00130	MT521409.1_00088
OG0000005	AY521625.1_00085	MT521409.1_00100
OG0000006	AY521625.1_00051	MT521409.1_00117
OG0000007	AY521625.1_00016	MT521409.1_00053
OG0000008	AY521625.1_00069, AY521625.1_00070	MT521409.1_00061
OG0000009	AY521625.1_00142	MT521409.1_00060
OG0000010	AY521625.1_00054	MT521409.1_00125
OG0000011	AY521625.1_00110	MT521409.1_00097
OG0000012	AY521625.1_00074	MT521409.1_00012
OG0000013	AY521625.1_00059	MT521409.1_00011
OG0000014	AY521625.1_00065	MT521409.1_00008
OG0000015	AY521625.1_00048	MT521409.1_00039
OG0000016	AY521625.1_00053	MT521409.1_00129
OG0000017	AY521625.1_00086	MT521409.1_00047
OG0000018	AY521625.1_00073	MT521409.1_00048
OG0000019	AY521625.1_00047	MT521409.1_00064
OG0000020	AY521625.1_00115	MT521409.1_00059
OG0000021	AY521625.1_00035	MT521409.1_00134
OG0000022	AY521625.1_00062	MT521409.1_00024
OG0000023	AY521625.1_00100	MT521409.1_00057
OG0000024	AY521625.1_00060	MT521409.1_00063
OG0000026	AY521625.1_00022	MT521409.1_00050
OG0000030	AY521625.1_00004	MT521409.1_00108
OG0000136	AY521625.1_00046	MT521409.1_00009, MT521409.1_00071
OG0000146	AY521625.1_00002	MT521409.1_00137
