Orthogroup	AY521625.1	AY532606.1
OG0000000	AY521625.1_00091	AY532606.1_00030
OG0000001	AY521625.1_00064	AY532606.1_00006
OG0000003	AY521625.1_00077	AY532606.1_00007
OG0000004	AY521625.1_00130	AY532606.1_00014
OG0000005	AY521625.1_00085	AY532606.1_00029
OG0000006	AY521625.1_00051	AY532606.1_00078
OG0000007	AY521625.1_00016	AY532606.1_00093
OG0000008	AY521625.1_00069, AY521625.1_00070	AY532606.1_00116, AY532606.1_00117
OG0000009	AY521625.1_00142	AY532606.1_00120, AY532606.1_00119
OG0000010	AY521625.1_00054	AY532606.1_00004
OG0000011	AY521625.1_00110	AY532606.1_00020
OG0000012	AY521625.1_00074	AY532606.1_00031
OG0000013	AY521625.1_00059	AY532606.1_00033
OG0000014	AY521625.1_00065	AY532606.1_00035
OG0000015	AY521625.1_00048	AY532606.1_00057
OG0000016	AY521625.1_00053	AY532606.1_00064
OG0000017	AY521625.1_00086	AY532606.1_00088
OG0000018	AY521625.1_00073	AY532606.1_00089
OG0000019	AY521625.1_00047	AY532606.1_00111
OG0000020	AY521625.1_00115	AY532606.1_00125
OG0000021	AY521625.1_00035	AY532606.1_00126
OG0000023	AY521625.1_00100	AY532606.1_00099, AY532606.1_00098
OG0000024	AY521625.1_00060	AY532606.1_00114
OG0000026	AY521625.1_00022	AY532606.1_00090
OG0000030	AY521625.1_00004	AY532606.1_00001
