Orthogroup	AY521625.1	OL774653.1
OG0000000	AY521625.1_00091	OL774653.1_00051
OG0000001	AY521625.1_00064	OL774653.1_00025
OG0000003	AY521625.1_00077	OL774653.1_00026
OG0000004	AY521625.1_00130	OL774653.1_00032
OG0000005	AY521625.1_00085	OL774653.1_00050
OG0000006	AY521625.1_00051	OL774653.1_00094
OG0000007	AY521625.1_00016	OL774653.1_00108
OG0000008	AY521625.1_00069, AY521625.1_00070	OL774653.1_00006
OG0000009	AY521625.1_00142	OL774653.1_00008
OG0000010	AY521625.1_00054	OL774653.1_00023
OG0000011	AY521625.1_00110	OL774653.1_00039
OG0000012	AY521625.1_00074	OL774653.1_00052
OG0000013	AY521625.1_00059	OL774653.1_00054
OG0000014	AY521625.1_00065	OL774653.1_00056
OG0000015	AY521625.1_00048	OL774653.1_00076
OG0000016	AY521625.1_00053	OL774653.1_00082
OG0000017	AY521625.1_00086	OL774653.1_00104
OG0000018	AY521625.1_00073	OL774653.1_00105
OG0000019	AY521625.1_00047	OL774653.1_00001
OG0000020	AY521625.1_00115	OL774653.1_00016
OG0000021	AY521625.1_00035	OL774653.1_00017
OG0000022	AY521625.1_00062	OL774653.1_00065
OG0000023	AY521625.1_00100	OL774653.1_00114
OG0000024	AY521625.1_00060	OL774653.1_00004
OG0000026	AY521625.1_00022	OL774653.1_00106
OG0000030	AY521625.1_00004	OL774653.1_00019
