Orthogroup	AY521625.1	NC_005946.1
OG0000000	AY521625.1_00091	NC_005946.1_00010
OG0000001	AY521625.1_00064	NC_005946.1_00091
OG0000003	AY521625.1_00077	NC_005946.1_00053
OG0000004	AY521625.1_00130	NC_005946.1_00057
OG0000005	AY521625.1_00085	NC_005946.1_00095
OG0000006	AY521625.1_00051	NC_005946.1_00042
OG0000007	AY521625.1_00016	NC_005946.1_00002
OG0000008	AY521625.1_00069, AY521625.1_00070	NC_005946.1_00028
OG0000009	AY521625.1_00142	NC_005946.1_00092
OG0000010	AY521625.1_00054	NC_005946.1_00038
OG0000011	AY521625.1_00110	NC_005946.1_00060
OG0000012	AY521625.1_00074	NC_005946.1_00083
OG0000013	AY521625.1_00059	NC_005946.1_00087
OG0000014	AY521625.1_00065	NC_005946.1_00061
OG0000015	AY521625.1_00048	NC_005946.1_00022
OG0000016	AY521625.1_00053	NC_005946.1_00011
OG0000017	AY521625.1_00086	NC_005946.1_00094
OG0000018	AY521625.1_00073	NC_005946.1_00082
OG0000019	AY521625.1_00047	NC_005946.1_00023
OG0000020	AY521625.1_00115	NC_005946.1_00016
OG0000021	AY521625.1_00035	NC_005946.1_00021
OG0000022	AY521625.1_00062	NC_005946.1_00089
OG0000023	AY521625.1_00100	NC_005946.1_00014
OG0000024	AY521625.1_00060	NC_005946.1_00086
OG0000026	AY521625.1_00022	NC_005946.1_00049
OG0000120	AY521625.1_00036	NC_005946.1_00020
OG0000137	AY521625.1_00098	NC_005946.1_00001
OG0000138	AY521625.1_00102	NC_005946.1_00079
OG0000146	AY521625.1_00002	NC_005946.1_00052
OG0000147	AY521625.1_00042	NC_005946.1_00067
OG0000148	AY521625.1_00056	NC_005946.1_00039
OG0000151	AY521625.1_00018	NC_005946.1_00044
OG0000153	AY521625.1_00126	NC_005946.1_00075
OG0000154	AY521625.1_00133	NC_005946.1_00054
OG0000159	AY521625.1_00005	NC_005946.1_00026
OG0000160	AY521625.1_00011	NC_005946.1_00033
OG0000161	AY521625.1_00044	NC_005946.1_00063
OG0000162	AY521625.1_00140	NC_005946.1_00029
OG0000171	AY521625.1_00066	NC_005946.1_00062
OG0000193	AY521625.1_00023	NC_005946.1_00051
OG0000195	AY521625.1_00061	NC_005946.1_00088
OG0000196	AY521625.1_00094	NC_005946.1_00096
OG0000197	AY521625.1_00116	NC_005946.1_00015
OG0000198	AY521625.1_00128	NC_005946.1_00073
OG0000264	AY521625.1_00010	NC_005946.1_00034
OG0000299	AY521625.1_00008	NC_005946.1_00035
OG0000300	AY521625.1_00013	NC_005946.1_00005
OG0000301	AY521625.1_00014	NC_005946.1_00004
OG0000302	AY521625.1_00015	NC_005946.1_00003
OG0000303	AY521625.1_00020	NC_005946.1_00047
OG0000304	AY521625.1_00039	NC_005946.1_00018
OG0000305	AY521625.1_00043	NC_005946.1_00064
OG0000306	AY521625.1_00052	NC_005946.1_00012
OG0000307	AY521625.1_00063	NC_005946.1_00090
OG0000309	AY521625.1_00072	NC_005946.1_00081
OG0000310	AY521625.1_00075	NC_005946.1_00084
OG0000312	AY521625.1_00090	NC_005946.1_00013
OG0000314	AY521625.1_00104	NC_005946.1_00080
OG0000315	AY521625.1_00105	NC_005946.1_00059
OG0000316	AY521625.1_00113	NC_005946.1_00017
OG0000317	AY521625.1_00117	NC_005946.1_00077
OG0000318	AY521625.1_00118	NC_005946.1_00076
OG0000319	AY521625.1_00119	NC_005946.1_00072
OG0000320	AY521625.1_00123	NC_005946.1_00069
OG0000322	AY521625.1_00131	NC_005946.1_00056
OG0000323	AY521625.1_00137	NC_005946.1_00058
