Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Dwarf gourami iridovirus RNA polymerase gene, partial cds",Dwarf gourami iridovirus,150,150,100%,2e-43,100,654,AY989903.1
"Infectious spleen and kidney necrosis virus isolate case7 DNA associated RNA polymerase gene, partial cds; ORF029L gene, complete cds; and ORF030R gene, partial cds",Infectious spleen and kidney necrosis virus,150,150,100%,2e-43,100,674,KX354212.1
"Murray cod iridovirus RNA polymerase gene, partial cds",Murray cod iridovirus,150,150,100%,2e-43,100,675,AY936205.1
"Infectious spleen and kidney necrosis virus isolate TTIV-2011, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,110394,MW883594.1
"Infectious spleen and kidney necrosis virus strain AK-ISKNV, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,110460,OR536350.1
"Infectious spleen and kidney necrosis virus isolate OGIV-HN-2018-001, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,110699,PP974677.1
"Infectious spleen and kidney necrosis virus isolate XHIV-2015, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,110894,MW883600.1
"Infectious spleen and kidney necrosis virus isolate Bali/ Hybrid-grouper/2016/SVC-18-072, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,110919,MW557381.1
"Infectious spleen and kidney necrosis virus isolate Bali/Hybrid-grouper/2016/SVC-18-009, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,110961,MW464172.1
"Infectious spleen and kidney necrosis virus isolate XMIV-2015, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,110962,MW883602.1
"Infectious spleen and kidney necrosis virus isolate TLIV-2015, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111014,MW883601.1
"Infectious spleen and kidney necrosis virus isolate HGIV-Cantik1-2014, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111039,MW883596.1
"Infectious spleen and kidney necrosis virus isolate DGIV_2010, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111092,MW883604.1
"Infectious spleen and kidney necrosis virus isolate OGIV-YK-2018, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111105,MW883605.1
"Infectious spleen and kidney necrosis virus isolate HGIV-2015, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111138,MW883603.1
"Infectious spleen and kidney necrosis virus strain RSIV-Ku, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111154,KT781098.1
"Spotted knifejaw iridovirus, complete genome",Spotted knifejaw iridovirus,150,150,100%,1e-39,100,111198,MT986830.1
"Infectious spleen and kidney necrosis virus isolate TLIV-2011, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111309,MW883593.1
"Infectious spleen and kidney necrosis virus isolate NH-2021, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111315,OR356116.1
"Infectious spleen and kidney necrosis virus isolate NH-2005, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111315,OP896201.1
"Infectious spleen and kidney necrosis virus isolate TTIV-2015, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111351,MW883599.1
"Infectious spleen and kidney necrosis virus strain LakeVolta_BF-2, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111362,OQ513807.1
"Infectious spleen and kidney necrosis virus, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111362,NC_003494.1
"Infectious spleen and kidney necrosis virus isolate EFIV-2018, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111369,MW273353.1
"Infectious spleen and kidney necrosis virus isolate EFIV-2019, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111380,MW273354.1
"Infectious spleen and kidney necrosis virus isolate KU1, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111487,MT128666.1
"Infectious spleen and kidney necrosis virus isolate OGIV-PW-2018, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111609,MW883606.1
"Infectious spleen and kidney necrosis virus isolate KU2, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111610,MT128667.1
"Infectious spleen and kidney necrosis virus isolate BCIV-2015, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111666,MW883595.1
"MAG: Infectious spleen and kidney necrosis virus isolate ISKNV_Ghana_TIV_2019, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111831,OR670976.1
"Infectious spleen and kidney necrosis virus strain TIV-2020, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,111837,ON212400.1
"Banggai cardinalfish iridovirus isolate BCIV/2017, complete genome",Banggai cardinalfish iridovirus,150,150,100%,1e-39,100,111920,MT926123.1
"Infectious spleen and kidney necrosis virus isolate NS-2404, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,112192,PV683077.1
"Infectious spleen and kidney necrosis virus isolate ISKNV-ASB-23, complete genome",Infectious spleen and kidney necrosis virus,150,150,100%,1e-39,100,112236,PP151097.1
"Largemouth bass ulcerative syndrome virus isolate LBUSV-GZ, complete genome",Largemouth bass ulcerative syndrome virus,150,150,100%,1e-39,100,112248,OP009387.1
"Oxyeleotris marmoratus iridovirus isolate ZH, complete genome",Oxyeleotris marmoratus iridovirus,150,150,100%,1e-39,100,112507,PQ152308.1
"Banggai cardinalfish iridovirus isolate BCIV/WVL17393/2012, complete genome",Banggai cardinalfish iridovirus,150,150,100%,1e-39,100,112618,MN432490.1
"Angelfish iridovirus AFIV-16, complete genome",Angelfish iridovirus AFIV-16,149,149,100%,3e-39,98.63,111127,MK689685.1
"Red sea bream iridovirus genes for largest subunit of the DNA-dependent RNA polymerase, DNA repair protein RAD2, ribonucleotide reductase small subunit, complete cds",Red seabream iridovirus,145,145,100%,5e-38,95.89,7141,AB018418.1
"Small yellow croaker iridovirus isolate Zhoushan, complete genome",Small yellow croaker iridovirus,145,145,100%,5e-38,95.89,110560,OL310752.1
"Large yellow croaker iridovirus isolate ZS-1, complete genome",Large yellow croaker iridovirus,145,145,100%,5e-38,95.89,111854,OL774653.1
"Red seabream iridovirus isolate SBIV-V12, complete genome",Red seabream iridovirus,145,145,100%,5e-38,95.89,111876,ON743042.1
"Large yellow croaker iridovirus isolate Zhoushan, complete genome",Large yellow croaker iridovirus,145,145,100%,5e-38,95.89,112043,MW139932.1
"Large yellow croaker iridovirus isolate ZS-2, complete genome",Large yellow croaker iridovirus,145,145,100%,5e-38,95.89,112041,OL774654.1
"Pompano iridovirus isolate PIV2016, complete genome",Pompano iridovirus,145,145,100%,5e-38,95.89,112052,MK098187.1
"Red seabream iridovirus isolate SBIV-VP13, complete genome",Red seabream iridovirus,145,145,100%,5e-38,95.89,112158,ON740976.1
"Megalocytivirus FD201807, complete genome",Megalocytivirus FD201807,145,145,100%,5e-38,95.89,112214,OQ475017.1
"Pompano iridovirus isolate PIV2010, complete genome",Pompano iridovirus,145,145,100%,5e-38,95.89,112321,MK098185.1
"Red seabream iridovirus isolate 17SbTy, complete genome",Red seabream iridovirus,145,145,100%,5e-38,95.89,112360,OK042108.1
"Large yellow croaker iridovirus isolate ZS-3, complete genome",Large yellow croaker iridovirus,145,145,100%,5e-38,95.89,112362,OL774655.1
"Pompano iridovirus isolate PIV2014a, complete genome",Pompano iridovirus,145,145,100%,5e-38,95.89,112377,MK098186.1
"Red sea bream iridovirus genomic DNA, circular physical map, complete sequence",Red seabream iridovirus,145,145,100%,5e-38,95.89,112415,AB104413.1
