Orthogroup	KF938901.1	MK098186.1
OG0000000	KF938901.1_00126	MK098186.1_00030
OG0000001	KF938901.1_00080	MK098186.1_00008
OG0000002	KF938901.1_00044	MK098186.1_00007
OG0000003	KF938901.1_00005	MK098186.1_00015
OG0000004	KF938901.1_00043	MK098186.1_00109
OG0000005	KF938901.1_00125	MK098186.1_00092
OG0000006	KF938901.1_00072	MK098186.1_00073
OG0000007	KF938901.1_00053	MK098186.1_00087
OG0000008	KF938901.1_00067	MK098186.1_00029
OG0000009	KF938901.1_00114	MK098186.1_00111
OG0000011	KF938901.1_00092	MK098186.1_00061
OG0000012	KF938901.1_00054	MK098186.1_00022
OG0000013	KF938901.1_00060	MK098186.1_00055
OG0000014	KF938901.1_00074	MK098186.1_00119
OG0000015	KF938901.1_00095	MK098186.1_00120
OG0000016	KF938901.1_00046	MK098186.1_00084
OG0000017	KF938901.1_00123	MK098186.1_00033
OG0000018	KF938901.1_00025	MK098186.1_00104
OG0000019	KF938901.1_00012	MK098186.1_00083
OG0000020	KF938901.1_00047	MK098186.1_00031
OG0000021	KF938901.1_00124	MK098186.1_00005
OG0000022	KF938901.1_00023	MK098186.1_00035
OG0000023	KF938901.1_00031	MK098186.1_00044
OG0000024	KF938901.1_00094	MK098186.1_00026
OG0000025	KF938901.1_00093	MK098186.1_00062
