Orthogroup	KF938901.1	AY779031.1
OG0000000	KF938901.1_00126	AY779031.1_00034
OG0000001	KF938901.1_00080	AY779031.1_00008
OG0000002	KF938901.1_00044	AY779031.1_00007
OG0000003	KF938901.1_00005	AY779031.1_00015, AY779031.1_00016
OG0000004	KF938901.1_00043	AY779031.1_00121
OG0000005	KF938901.1_00125	AY779031.1_00103
OG0000006	KF938901.1_00072	AY779031.1_00083
OG0000007	KF938901.1_00053	AY779031.1_00098
OG0000008	KF938901.1_00067	AY779031.1_00033
OG0000009	KF938901.1_00114	AY779031.1_00122
OG0000011	KF938901.1_00092	AY779031.1_00068
OG0000012	KF938901.1_00054	AY779031.1_00023
OG0000013	KF938901.1_00060	AY779031.1_00061
OG0000014	KF938901.1_00074	AY779031.1_00129
OG0000015	KF938901.1_00095	AY779031.1_00130
OG0000016	KF938901.1_00046	AY779031.1_00095
OG0000017	KF938901.1_00123	AY779031.1_00037
OG0000018	KF938901.1_00025	AY779031.1_00116
OG0000019	KF938901.1_00012	AY779031.1_00094
OG0000020	KF938901.1_00047	AY779031.1_00035
OG0000021	KF938901.1_00124	AY779031.1_00005
OG0000022	KF938901.1_00023	AY779031.1_00039
OG0000023	KF938901.1_00031	AY779031.1_00049
OG0000025	KF938901.1_00093	AY779031.1_00069
