Orthogroup	KF938901.1	GQ273492.1
OG0000000	KF938901.1_00126	GQ273492.1_00030
OG0000001	KF938901.1_00080	GQ273492.1_00008
OG0000002	KF938901.1_00044	GQ273492.1_00007
OG0000003	KF938901.1_00005	GQ273492.1_00015
OG0000004	KF938901.1_00043	GQ273492.1_00108
OG0000005	KF938901.1_00125	GQ273492.1_00092
OG0000006	KF938901.1_00072	GQ273492.1_00073
OG0000007	KF938901.1_00053	GQ273492.1_00087
OG0000008	KF938901.1_00067	GQ273492.1_00029
OG0000009	KF938901.1_00114	GQ273492.1_00110
OG0000011	KF938901.1_00092	GQ273492.1_00063
OG0000012	KF938901.1_00054	GQ273492.1_00022
OG0000013	KF938901.1_00060	GQ273492.1_00056
OG0000014	KF938901.1_00074	GQ273492.1_00118
OG0000015	KF938901.1_00095	GQ273492.1_00119
OG0000016	KF938901.1_00046	GQ273492.1_00084
OG0000017	KF938901.1_00123	GQ273492.1_00033
OG0000018	KF938901.1_00025	GQ273492.1_00103
OG0000019	KF938901.1_00012	GQ273492.1_00083
OG0000020	KF938901.1_00047	GQ273492.1_00031
OG0000021	KF938901.1_00124	GQ273492.1_00005
OG0000022	KF938901.1_00023	GQ273492.1_00035
OG0000023	KF938901.1_00031	GQ273492.1_00044
OG0000024	KF938901.1_00094	GQ273492.1_00027
OG0000025	KF938901.1_00093	GQ273492.1_00064
