Orthogroup	KF938901.1	OQ475017.1
OG0000000	KF938901.1_00126	OQ475017.1_00030
OG0000001	KF938901.1_00080	OQ475017.1_00008
OG0000002	KF938901.1_00044	OQ475017.1_00007
OG0000003	KF938901.1_00005	OQ475017.1_00015
OG0000004	KF938901.1_00043	OQ475017.1_00110
OG0000005	KF938901.1_00125	OQ475017.1_00093
OG0000006	KF938901.1_00072	OQ475017.1_00073
OG0000007	KF938901.1_00053	OQ475017.1_00087
OG0000008	KF938901.1_00067	OQ475017.1_00029
OG0000009	KF938901.1_00114	OQ475017.1_00112
OG0000011	KF938901.1_00092	OQ475017.1_00062
OG0000012	KF938901.1_00054	OQ475017.1_00022
OG0000013	KF938901.1_00060	OQ475017.1_00056
OG0000014	KF938901.1_00074	OQ475017.1_00120
OG0000015	KF938901.1_00095	OQ475017.1_00121
OG0000016	KF938901.1_00046	OQ475017.1_00084
OG0000017	KF938901.1_00123	OQ475017.1_00033
OG0000018	KF938901.1_00025	OQ475017.1_00105
OG0000019	KF938901.1_00012	OQ475017.1_00083
OG0000020	KF938901.1_00047	OQ475017.1_00031
OG0000021	KF938901.1_00124	OQ475017.1_00005
OG0000022	KF938901.1_00023	OQ475017.1_00035
OG0000023	KF938901.1_00031	OQ475017.1_00044
OG0000024	KF938901.1_00094	OQ475017.1_00027
OG0000025	KF938901.1_00093	OQ475017.1_00063
