Orthogroup	KF938901.1	MT926123.1
OG0000000	KF938901.1_00126	MT926123.1_00032
OG0000001	KF938901.1_00080	MT926123.1_00008
OG0000002	KF938901.1_00044	MT926123.1_00007
OG0000003	KF938901.1_00005	MT926123.1_00015
OG0000004	KF938901.1_00043	MT926123.1_00112
OG0000005	KF938901.1_00125	MT926123.1_00096
OG0000006	KF938901.1_00072	MT926123.1_00079
OG0000007	KF938901.1_00053	MT926123.1_00093
OG0000008	KF938901.1_00067	MT926123.1_00031
OG0000009	KF938901.1_00114	MT926123.1_00113
OG0000011	KF938901.1_00092	MT926123.1_00065
OG0000012	KF938901.1_00054	MT926123.1_00022
OG0000013	KF938901.1_00060	MT926123.1_00058
OG0000014	KF938901.1_00074	MT926123.1_00120
OG0000015	KF938901.1_00095	MT926123.1_00121
OG0000016	KF938901.1_00046	MT926123.1_00090
OG0000017	KF938901.1_00123	MT926123.1_00035
OG0000018	KF938901.1_00025	MT926123.1_00107
OG0000019	KF938901.1_00012	MT926123.1_00089
OG0000020	KF938901.1_00047	MT926123.1_00033
OG0000021	KF938901.1_00124	MT926123.1_00005
OG0000022	KF938901.1_00023	MT926123.1_00037
OG0000023	KF938901.1_00031	MT926123.1_00046
OG0000024	KF938901.1_00094	MT926123.1_00028
OG0000025	KF938901.1_00093	MT926123.1_00066
