Orthogroup	KF938901.1	MT521409.1
OG0000000	KF938901.1_00126	MT521409.1_00103
OG0000001	KF938901.1_00080	MT521409.1_00082
OG0000002	KF938901.1_00044	MT521409.1_00081
OG0000003	KF938901.1_00005	MT521409.1_00088
OG0000004	KF938901.1_00043	MT521409.1_00061
OG0000005	KF938901.1_00125	MT521409.1_00057
OG0000006	KF938901.1_00072	MT521409.1_00117
OG0000007	KF938901.1_00053	MT521409.1_00053
OG0000008	KF938901.1_00067	MT521409.1_00100
OG0000009	KF938901.1_00114	MT521409.1_00060
OG0000011	KF938901.1_00092	MT521409.1_00129
OG0000012	KF938901.1_00054	MT521409.1_00097
OG0000013	KF938901.1_00060	MT521409.1_00039
OG0000014	KF938901.1_00074	MT521409.1_00059
OG0000015	KF938901.1_00095	MT521409.1_00134
OG0000016	KF938901.1_00046	MT521409.1_00048
OG0000017	KF938901.1_00123	MT521409.1_00011
OG0000018	KF938901.1_00025	MT521409.1_00064
OG0000019	KF938901.1_00012	MT521409.1_00047
OG0000020	KF938901.1_00047	MT521409.1_00012
OG0000021	KF938901.1_00124	MT521409.1_00125
OG0000022	KF938901.1_00023	MT521409.1_00008
OG0000023	KF938901.1_00031	MT521409.1_00024
OG0000024	KF938901.1_00094	MT521409.1_00074
OG0000025	KF938901.1_00093	MT521409.1_00114
OG0000139	KF938901.1_00108	MT521409.1_00070
