Orthogroup	KF938901.1	AF371960.1
OG0000000	KF938901.1_00126	AF371960.1_00031
OG0000001	KF938901.1_00080	AF371960.1_00008
OG0000002	KF938901.1_00044	AF371960.1_00007
OG0000003	KF938901.1_00005	AF371960.1_00015
OG0000004	KF938901.1_00043	AF371960.1_00112
OG0000005	KF938901.1_00125	AF371960.1_00096
OG0000006	KF938901.1_00072	AF371960.1_00078
OG0000007	KF938901.1_00053	AF371960.1_00092
OG0000008	KF938901.1_00067	AF371960.1_00030
OG0000009	KF938901.1_00114	AF371960.1_00113
OG0000011	KF938901.1_00092	AF371960.1_00064
OG0000012	KF938901.1_00054	AF371960.1_00021
OG0000013	KF938901.1_00060	AF371960.1_00057
OG0000014	KF938901.1_00074	AF371960.1_00121
OG0000015	KF938901.1_00095	AF371960.1_00122
OG0000016	KF938901.1_00046	AF371960.1_00089
OG0000017	KF938901.1_00123	AF371960.1_00034
OG0000018	KF938901.1_00025	AF371960.1_00107
OG0000019	KF938901.1_00012	AF371960.1_00088
OG0000020	KF938901.1_00047	AF371960.1_00032
OG0000021	KF938901.1_00124	AF371960.1_00005
OG0000022	KF938901.1_00023	AF371960.1_00036
OG0000023	KF938901.1_00031	AF371960.1_00045
OG0000024	KF938901.1_00094	AF371960.1_00027
OG0000025	KF938901.1_00093	AF371960.1_00065
