Orthogroup	KF938901.1	MK098187.1
OG0000000	KF938901.1_00126	MK098187.1_00033
OG0000001	KF938901.1_00080	MK098187.1_00008
OG0000002	KF938901.1_00044	MK098187.1_00007
OG0000003	KF938901.1_00005	MK098187.1_00015
OG0000004	KF938901.1_00043	MK098187.1_00112
OG0000005	KF938901.1_00125	MK098187.1_00095
OG0000006	KF938901.1_00072	MK098187.1_00076
OG0000007	KF938901.1_00053	MK098187.1_00090
OG0000008	KF938901.1_00067	MK098187.1_00032
OG0000009	KF938901.1_00114	MK098187.1_00114
OG0000011	KF938901.1_00092	MK098187.1_00064
OG0000012	KF938901.1_00054	MK098187.1_00022
OG0000013	KF938901.1_00060	MK098187.1_00058
OG0000014	KF938901.1_00074	MK098187.1_00122
OG0000015	KF938901.1_00095	MK098187.1_00123
OG0000016	KF938901.1_00046	MK098187.1_00087
OG0000017	KF938901.1_00123	MK098187.1_00036
OG0000018	KF938901.1_00025	MK098187.1_00107
OG0000019	KF938901.1_00012	MK098187.1_00086
OG0000020	KF938901.1_00047	MK098187.1_00034
OG0000021	KF938901.1_00124	MK098187.1_00005
OG0000022	KF938901.1_00023	MK098187.1_00038
OG0000023	KF938901.1_00031	MK098187.1_00047
OG0000024	KF938901.1_00094	MK098187.1_00029
OG0000025	KF938901.1_00093	MK098187.1_00065
