HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N58.HOG0000000	OG0000000	n0							AY521625.1_00091 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00010 hypothetical protein																				
N58.HOG0000001	OG0000001	n0							AY521625.1_00077 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00053 hypothetical protein																				
N58.HOG0000002	OG0000002	n0							AY521625.1_00130 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00057 hypothetical protein																				
N58.HOG0000003	OG0000003	n0							AY521625.1_00085 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00095 hypothetical protein																				
N58.HOG0000004	OG0000004	n0							AY521625.1_00142 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00092 hypothetical protein																				
N58.HOG0000005	OG0000005	n0							AY521625.1_00054 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00038 hypothetical protein																				
N58.HOG0000006	OG0000006	n0							AY521625.1_00064 AY521625.1 - Major capsid protein translation																																														NC_005946.1_00091 Major capsid protein																				
N58.HOG0000007	OG0000007	n0							AY521625.1_00110 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00060 hypothetical protein																				
N58.HOG0000008	OG0000008	n0							AY521625.1_00074 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00083 hypothetical protein																				
N58.HOG0000009	OG0000009	n0							AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation																																														FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit																				
N58.HOG0000010	OG0000010	n0							AY521625.1_00048 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00022 hypothetical protein																				
N58.HOG0000011	OG0000011	n0							AY521625.1_00053 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00011 hypothetical protein																				
N58.HOG0000012	OG0000012	n0							AY521625.1_00086 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00094 hypothetical protein																				
N58.HOG0000013	OG0000013	n0							AY521625.1_00016 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00002 hypothetical protein																				
N58.HOG0000014	OG0000014	n0							AY521625.1_00047 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00023 hypothetical protein																				
N58.HOG0000015	OG0000015	n0							AY521625.1_00115 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00016 hypothetical protein																				
N58.HOG0000016	OG0000016	n0							AY521625.1_00035 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00021 hypothetical protein																				
N58.HOG0000017	OG0000017	n0							AY521625.1_00042 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00067 hypothetical protein																				
N58.HOG0000018	OG0000018	n0							AY521625.1_00059 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00087 hypothetical protein																				
N58.HOG0000019	OG0000019	n0							AY521625.1_00051 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00042 hypothetical protein																				
N58.HOG0000020	OG0000020	n0							AY521625.1_00073 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00082 hypothetical protein																				
N58.HOG0000021	OG0000021	n0							AY521625.1_00100 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00014 hypothetical protein																				
N58.HOG0000022	OG0000022	n0							AY521625.1_00069 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00028 hypothetical protein																				
N58.HOG0000023	OG0000024	n0							AY521625.1_00062 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00089 hypothetical protein																				
N58.HOG0000024	OG0000026	n0							AY521625.1_00022 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00049 hypothetical protein																				
N58.HOG0000025	OG0000027	n0							AY521625.1_00060 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00086 hypothetical protein																				
N58.HOG0000026	OG0000028	n0																																																					NC_005946.1_00085 hypothetical protein																				
N58.HOG0000027	OG0000031	n0							AY521625.1_00004 AY521625.1 - hypothetical protein translation																																																																		
N58.HOG0000028	OG0000120	n0																																																					NC_005946.1_00006 hypothetical protein																				
N58.HOG0000029	OG0000125	n9							AY521625.1_00036 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00020 hypothetical protein																				
N58.HOG0000030	OG0000132	n0							AY521625.1_00098 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00001 hypothetical protein																				
