HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N42.HOG0000000	OG0000000	n0			MK689686.1_00029 hypothetical protein						MK689686.1_00029 hypothetical protein													MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein													MK689686.1_00029 hypothetical protein																	MK689686.1_00029 hypothetical protein		MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein				MK689686.1_00029 hypothetical protein				OQ475017.1_00030 OQ475017.1 - hypothetical protein translation							
N42.HOG0000001	OG0000001	n0			MK689686.1_00008 hypothetical protein						MK689686.1_00008 hypothetical protein													MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein													MK689686.1_00008 hypothetical protein																	MK689686.1_00008 hypothetical protein		MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein				MK689686.1_00008 hypothetical protein				OQ475017.1_00008 OQ475017.1 - hypothetical protein translation							
N42.HOG0000002	OG0000002	n0			MK689686.1_00014 hypothetical protein						MK689686.1_00014 hypothetical protein													MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein													MK689686.1_00014 hypothetical protein																	MK689686.1_00014 hypothetical protein		MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein				MK689686.1_00014 hypothetical protein				OQ475017.1_00015 OQ475017.1 - hypothetical protein translation							
N42.HOG0000003	OG0000003	n0			MK689686.1_00028 hypothetical protein						MK689686.1_00028 hypothetical protein													MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein													MK689686.1_00028 hypothetical protein																	MK689686.1_00028 hypothetical protein		MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein				MK689686.1_00028 hypothetical protein				OQ475017.1_00029 OQ475017.1 - hypothetical protein translation							
N42.HOG0000004	OG0000004	n0			MK689686.1_00112 hypothetical protein						MK689686.1_00112 hypothetical protein													MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein													MK689686.1_00112 hypothetical protein																	MK689686.1_00112 hypothetical protein		MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein				MK689686.1_00112 hypothetical protein				OQ475017.1_00112 OQ475017.1 - hypothetical protein translation							
N42.HOG0000005	OG0000005	n0			MK689686.1_00005 hypothetical protein						MK689686.1_00005 hypothetical protein													MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein													MK689686.1_00005 hypothetical protein																	MK689686.1_00005 hypothetical protein		MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein				MK689686.1_00005 hypothetical protein				OQ475017.1_00005 OQ475017.1 - hypothetical protein translation							
N42.HOG0000006	OG0000006	n0			MK689686.1_00007 Major capsid protein						MK689686.1_00007 Major capsid protein													MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein													MK689686.1_00007 Major capsid protein																	MK689686.1_00007 Major capsid protein		MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein				MK689686.1_00007 Major capsid protein				OQ475017.1_00007 OQ475017.1 - Major capsid protein translation							
N42.HOG0000007	OG0000007	n0			MK689686.1_00021 hypothetical protein						MK689686.1_00021 hypothetical protein													MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein													MK689686.1_00021 hypothetical protein																	MK689686.1_00021 hypothetical protein		MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein				MK689686.1_00021 hypothetical protein				OQ475017.1_00022 OQ475017.1 - hypothetical protein translation							
N42.HOG0000008	OG0000008	n0			MK689686.1_00030 hypothetical protein						MK689686.1_00030 hypothetical protein													MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein													MK689686.1_00030 hypothetical protein																	MK689686.1_00030 hypothetical protein		MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein				MK689686.1_00030 hypothetical protein				OQ475017.1_00031 OQ475017.1 - hypothetical protein translation							
N42.HOG0000009	OG0000009	n0			MK689686.1_00034 DNA-directed RNA polymerase subunit 2						MK689686.1_00034 DNA-directed RNA polymerase subunit 2													MK689686.1_00034 DNA-directed RNA polymerase subunit 2	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	MK689686.1_00034 DNA-directed RNA polymerase subunit 2													MK689686.1_00034 DNA-directed RNA polymerase subunit 2																	MK689686.1_00034 DNA-directed RNA polymerase subunit 2		MK689686.1_00034 DNA-directed RNA polymerase subunit 2	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	MK689686.1_00034 DNA-directed RNA polymerase subunit 2				MK689686.1_00034 DNA-directed RNA polymerase subunit 2				OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation							
