HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N59.HOG0000000	OG0000000	n0																	Lymph_LDV3_KX643370_00131 hypothetical protein													MN803438.1_00124 hypothetical protein																																											
N59.HOG0000001	OG0000001	n0																	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein													MN803438.1_00101 hypothetical protein																																											
N59.HOG0000002	OG0000002	n0																	Lymph_LDV3_KX643370_00120 hypothetical protein													MN803438.1_00113 hypothetical protein																																											
N59.HOG0000003	OG0000003	n0																	Lymph_LDV3_KX643370_00137 hypothetical protein													MN803438.1_00106 hypothetical protein																																											
N59.HOG0000004	OG0000004	n0																	Lymph_LDV3_KX643370_00107 hypothetical protein													MN803438.1_00109 hypothetical protein																																											
N59.HOG0000005	OG0000005	n0																	Lymph_LDV3_KX643370_00077 hypothetical protein													MN803438.1_00089 hypothetical protein																																											
N59.HOG0000006	OG0000006	n0																	Lymph_LDV3_KX643370_00051 Major capsid protein													MN803438.1_00023 Major capsid protein																																											
N59.HOG0000007	OG0000007	n0																	Lymph_LDV3_KX643370_00117 hypothetical protein													MN803438.1_00128 hypothetical protein																																											
N59.HOG0000008	OG0000008	n0																	Lymph_LDV3_KX643370_00057 hypothetical protein													MN803438.1_00068 hypothetical protein																																											
N59.HOG0000009	OG0000009	n0																	Lymph_LDV3_KX643370_00049 hypothetical protein													MN803438.1_00013 hypothetical protein																																											
N59.HOG0000010	OG0000010	n0																	Lymph_LDV3_KX643370_00044 hypothetical protein													MN803438.1_00007 hypothetical protein																																											
N59.HOG0000011	OG0000011	n0																	Lymph_LDV3_KX643370_00094 hypothetical protein													MN803438.1_00049 hypothetical protein																																											
N59.HOG0000012	OG0000012	n0																	Lymph_LDV3_KX643370_00075 hypothetical protein													MN803438.1_00097 hypothetical protein																																											
N59.HOG0000013	OG0000013	n0																	Lymph_LDV3_KX643370_00061 hypothetical protein													MN803438.1_00027 hypothetical protein																																											
N59.HOG0000014	OG0000014	n0																	Lymph_LDV3_KX643370_00095 hypothetical protein													MN803438.1_00051 hypothetical protein																																											
N59.HOG0000015	OG0000015	n0																	Lymph_LDV3_KX643370_00056 hypothetical protein													MN803438.1_00070 hypothetical protein																																											
N59.HOG0000016	OG0000016	n0																	Lymph_LDV3_KX643370_00091 hypothetical protein													MN803438.1_00046 hypothetical protein																																											
N59.HOG0000017	OG0000017	n0																	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain													MN803438.1_00024 hypothetical protein																																											
N59.HOG0000018	OG0000018	n0																	Lymph_LDV3_KX643370_00040 hypothetical protein													MN803438.1_00035 hypothetical protein																																											
N59.HOG0000019	OG0000019	n0																	Lymph_LDV3_KX643370_00004 hypothetical protein													MN803438.1_00142 hypothetical protein																																											
N59.HOG0000020	OG0000020	n0																	Lymph_LDV3_KX643370_00126 hypothetical protein													MN803438.1_00122 hypothetical protein																																											
N59.HOG0000021	OG0000021	n0																	Lymph_LDV3_KX643370_00055 hypothetical protein													MN803438.1_00071 hypothetical protein																																											
N59.HOG0000022	OG0000022	n0																	Lymph_LDV3_KX643370_00135 hypothetical protein													MN803438.1_00104 hypothetical protein																																											
N59.HOG0000023	OG0000023	n0																	Lymph_LDV3_KX643370_00001 hypothetical protein													MN803438.1_00145 hypothetical protein																																											
N59.HOG0000024	OG0000024	n0																	Lymph_LDV3_KX643370_00089 hypothetical protein													MN803438.1_00077 hypothetical protein																																											
N59.HOG0000025	OG0000026	n0																	Lymph_LDV3_KX643370_00015 hypothetical protein													MN803438.1_00037 hypothetical protein																																											
N59.HOG0000026	OG0000027	n0																	Lymph_LDV3_KX643370_00119 hypothetical protein													MN803438.1_00126 hypothetical protein																																											
N59.HOG0000027	OG0000028	n0																	Lymph_LDV3_KX643370_00096 hypothetical protein													MN803438.1_00054 hypothetical protein																																											
N59.HOG0000028	OG0000119	n0																	Lymph_LDV3_KX643370_00009 hypothetical protein, Lymph_LDV3_KX643370_00017 hypothetical protein													MN803438.1_00082 hypothetical protein																																											
N59.HOG0000029	OG0000125	n5																	Lymph_LDV3_KX643370_00108 hypothetical protein													MN803438.1_00107 hypothetical protein																																											
N59.HOG0000030	OG0000125	n7																	Lymph_LDV3_KX643370_00132 hypothetical protein													MN803438.1_00125 hypothetical protein																																											
N59.HOG0000031	OG0000125	n8																	Lymph_LDV3_KX643370_00076 hypothetical protein													MN803438.1_00094 hypothetical protein																																											
N59.HOG0000032	OG0000125	n17																	Lymph_LDV3_KX643370_00133 hypothetical protein													MN803438.1_00112 hypothetical protein																																											
N59.HOG0000033	OG0000125	n18																	Lymph_LDV3_KX643370_00079 hypothetical protein													MN803438.1_00021 hypothetical protein																																											
N59.HOG0000034	OG0000125	n20																	Lymph_LDV3_KX643370_00125 hypothetical protein													MN803438.1_00120 hypothetical protein																																											
N59.HOG0000035	OG0000125	n21																	Lymph_LDV3_KX643370_00048 hypothetical protein													MN803438.1_00012 hypothetical protein																																											
N59.HOG0000036	OG0000132	n0																	Lymph_LDV3_KX643370_00121 hypothetical protein													MN803438.1_00115 hypothetical protein																																											
N59.HOG0000037	OG0000133	n0																	Lymph_LDV3_KX643370_00041 Serine proteinase inhibitor 2													MN803438.1_00022 Serine proteinase inhibitor 2																																											
N59.HOG0000038	OG0000135	n0																	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit													MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit																																											
N59.HOG0000039	OG0000136	n0																	Lymph_LDV3_KX643370_00145 hypothetical protein													MN803438.1_00137 hypothetical protein																																											
N59.HOG0000040	OG0000137	n0																	Lymph_LDV3_KX643370_00042 Thymidylate synthase													MN803438.1_00005 Thymidylate synthase																																											
N59.HOG0000041	OG0000138	n6																	Lymph_LDV3_KX643370_00100 hypothetical protein													MN803438.1_00096 hypothetical protein																																											
N59.HOG0000042	OG0000138	n7																	Lymph_LDV3_KX643370_00012 hypothetical protein													MN803438.1_00011 hypothetical protein																																											
N59.HOG0000043	OG0000143	n0																	Lymph_LDV3_KX643370_00043 hypothetical protein													MN803438.1_00006 hypothetical protein																																											
N59.HOG0000044	OG0000147	n0																	Lymph_LDV3_KX643370_00140 hypothetical protein													MN803438.1_00135 hypothetical protein																																											
N59.HOG0000045	OG0000149	n0																	Lymph_LDV3_KX643370_00047 hypothetical protein													MN803438.1_00010 hypothetical protein																																											
N59.HOG0000046	OG0000151	n0																	Lymph_LDV3_KX643370_00149 hypothetical protein													MN803438.1_00003 hypothetical protein																																											
N59.HOG0000047	OG0000154	n0																	Lymph_LDV3_KX643370_00090 hypothetical protein													MN803438.1_00078 hypothetical protein																																											
N59.HOG0000048	OG0000173	n0																	Lymph_LDV3_KX643370_00060 hypothetical protein													MN803438.1_00028 hypothetical protein																																											
N59.HOG0000049	OG0000174	n0																	Lymph_LDV3_KX643370_00059 hypothetical protein													MN803438.1_00030 hypothetical protein																																											
N59.HOG0000050	OG0000175	n0																	Lymph_LDV3_KX643370_00080 hypothetical protein													MN803438.1_00092 hypothetical protein																																											
N59.HOG0000051	OG0000199	n0																	Lymph_LDV3_KX643370_00021 hypothetical protein													MN803438.1_00044 hypothetical protein																																											
N59.HOG0000052	OG0000201	n0																	Lymph_LDV3_KX643370_00064 hypothetical protein, Lymph_LDV3_KX643370_00014 hypothetical protein, Lymph_LDV3_KX643370_00128 hypothetical protein													MN803438.1_00121 hypothetical protein																																											
N59.HOG0000053	OG0000202	n0																	Lymph_LDV3_KX643370_00020 hypothetical protein													MN803438.1_00045 hypothetical protein																																											
N59.HOG0000054	OG0000203	n0																	Lymph_LDV3_KX643370_00114 hypothetical protein													MN803438.1_00130 hypothetical protein																																											
N59.HOG0000055	OG0000224	n0																	Lymph_LDV3_KX643370_00106 hypothetical protein													MN803438.1_00110 hypothetical protein																																											
N59.HOG0000056	OG0000225	n0																	Lymph_LDV3_KX643370_00005 hypothetical protein													MN803438.1_00140 hypothetical protein																																											
N59.HOG0000057	OG0000226	n0																	Lymph_LDV3_KX643370_00046 hypothetical protein													MN803438.1_00008 hypothetical protein																																											
N59.HOG0000058	OG0000227	n0																	Lymph_LDV3_KX643370_00054 hypothetical protein													MN803438.1_00026 hypothetical protein																																											
N59.HOG0000059	OG0000228	n0																	Lymph_LDV3_KX643370_00146 hypothetical protein													MN803438.1_00136 hypothetical protein																																											
N59.HOG0000060	OG0000229	n0																	Lymph_LDV3_KX643370_00102 hypothetical protein													MN803438.1_00099 hypothetical protein																																											
N59.HOG0000061	OG0000230	n1																	Lymph_LDV3_KX643370_00019 hypothetical protein													MN803438.1_00081 G-protein coupled receptor US28																																											
N59.HOG0000062	OG0000230	n2																	Lymph_LDV3_KX643370_00024 G-protein coupled receptor US28													MN803438.1_00039 G-protein coupled receptor US28																																											
N59.HOG0000063	OG0000231	n1																	Lymph_LDV3_KX643370_00035 hypothetical protein													MN803438.1_00050 hypothetical protein																																											
N59.HOG0000064	OG0000231	n2																	Lymph_LDV3_KX643370_00071 hypothetical protein													MN803438.1_00061 hypothetical protein																																											
N59.HOG0000065	OG0000232	n1																	Lymph_LDV3_KX643370_00142 hypothetical protein													MN803438.1_00133 hypothetical protein																																											
N59.HOG0000066	OG0000232	n2																	Lymph_LDV3_KX643370_00062 hypothetical protein													MN803438.1_00072 hypothetical protein																																											
N59.HOG0000067	OG0000233	n1																	Lymph_LDV3_KX643370_00084 hypothetical protein													MN803438.1_00087 hypothetical protein																																											
N59.HOG0000068	OG0000233	n2																	Lymph_LDV3_KX643370_00074 hypothetical protein													MN803438.1_00058 hypothetical protein																																											
N59.HOG0000069	OG0000274	-																	Lymph_LDV3_KX643370_00045 hypothetical protein, Lymph_LDV3_KX643370_00087 hypothetical protein													MN803438.1_00075 hypothetical protein																																											
N59.HOG0000070	OG0000275	-																	Lymph_LDV3_KX643370_00105 hypothetical protein													MN803438.1_00103 hypothetical protein, MN803438.1_00053 hypothetical protein																																											
N59.HOG0000071	OG0000393	-																	Lymph_LDV3_KX643370_00002 hypothetical protein													MN803438.1_00144 hypothetical protein																																											
N59.HOG0000072	OG0000394	-																	Lymph_LDV3_KX643370_00003 hypothetical protein													MN803438.1_00143 hypothetical protein																																											
N59.HOG0000073	OG0000395	-																	Lymph_LDV3_KX643370_00006 hypothetical protein													MN803438.1_00139 hypothetical protein																																											
N59.HOG0000074	OG0000396	-																	Lymph_LDV3_KX643370_00007 hypothetical protein													MN803438.1_00018 hypothetical protein																																											
N59.HOG0000075	OG0000397	-																	Lymph_LDV3_KX643370_00008 hypothetical protein													MN803438.1_00019 hypothetical protein																																											
N59.HOG0000076	OG0000398	-																	Lymph_LDV3_KX643370_00010 hypothetical protein													MN803438.1_00020 hypothetical protein																																											
