Orthogroup	GQ273492	HF920637
OG0000000	GQ273492.1_00030 hypothetical protein	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	GQ273492.1_00015 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000002	GQ273492.1_00008 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000003	GQ273492.1_00029 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	GQ273492.1_00110 hypothetical protein	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation
OG0000005	GQ273492.1_00063 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000006	GQ273492.1_00022 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000007	GQ273492.1_00056 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000008	GQ273492.1_00118 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000009	GQ273492.1_00119 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000010	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000011	GQ273492.1_00103 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000012	GQ273492.1_00007 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000013	GQ273492.1_00083 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000014	GQ273492.1_00087 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000015	GQ273492.1_00031 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000016	GQ273492.1_00005 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000017	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000018	GQ273492.1_00084 hypothetical protein	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000019	GQ273492.1_00108 hypothetical protein	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000020	GQ273492.1_00092 hypothetical protein	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000021	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000022	GQ273492.1_00044 hypothetical protein	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000023	GQ273492.1_00073 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000026	GQ273492.1_00064 hypothetical protein	HF920637.1_00156 HF920637.1 - hypothetical protein translation
