Orthogroup	BD143114.1	OM037668.1
OG0000000	BD143114.1_00045	OM037668.1_00035
OG0000001	BD143114.1_00068	OM037668.1_00057
OG0000002	BD143114.1_00123	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006
OG0000003	BD143114.1_00067	OM037668.1_00056
OG0000004	BD143114.1_00060	OM037668.1_00050
OG0000005	BD143114.1_00046	OM037668.1_00038
OG0000006	BD143114.1_00001	OM037668.1_00021
OG0000007	BD143114.1_00109	OM037668.1_00084
OG0000008	BD143114.1_00087	OM037668.1_00076
OG0000009	BD143114.1_00085	OM037668.1_00077
OG0000010	BD143114.1_00070	OM037668.1_00013
OG0000011	BD143114.1_00053	OM037668.1_00041
OG0000012	BD143114.1_00044	OM037668.1_00123
OG0000013	BD143114.1_00042	OM037668.1_00124
OG0000014	BD143114.1_00040	OM037668.1_00127
OG0000015	BD143114.1_00019	OM037668.1_00098
OG0000016	BD143114.1_00013	OM037668.1_00009
OG0000017	BD143114.1_00114	OM037668.1_00090
OG0000018	BD143114.1_00113	OM037668.1_00089
OG0000019	BD143114.1_00092	OM037668.1_00073
OG0000020	BD143114.1_00077	OM037668.1_00078
OG0000021	BD143114.1_00076	OM037668.1_00004
OG0000022	BD143114.1_00031	OM037668.1_00113
OG0000023	BD143114.1_00104	OM037668.1_00080
OG0000024	BD143114.1_00089	OM037668.1_00074
OG0000025	BD143114.1_00012	OM037668.1_00024
OG0000026	BD143114.1_00112	OM037668.1_00087
OG0000027	BD143114.1_00028	OM037668.1_00110
OG0000028	BD143114.1_00069	OM037668.1_00011
OG0000029	BD143114.1_00015	OM037668.1_00095
OG0000030	BD143114.1_00073	OM037668.1_00030
OG0000031	BD143114.1_00119	OM037668.1_00019
OG0000032	BD143114.1_00110, BD143114.1_00111	OM037668.1_00086
OG0000033	BD143114.1_00074, BD143114.1_00075	OM037668.1_00028
OG0000034	BD143114.1_00062	OM037668.1_00051
OG0000035	BD143114.1_00061	OM037668.1_00005
OG0000036	BD143114.1_00056	OM037668.1_00046
OG0000037	BD143114.1_00055	OM037668.1_00045
OG0000038	BD143114.1_00052	OM037668.1_00040
OG0000039	BD143114.1_00051	OM037668.1_00048
OG0000040	BD143114.1_00043	OM037668.1_00003
OG0000041	BD143114.1_00039	OM037668.1_00122
OG0000042	BD143114.1_00027	OM037668.1_00106
OG0000043	BD143114.1_00026	OM037668.1_00105
OG0000044	BD143114.1_00021	OM037668.1_00100
OG0000045	BD143114.1_00020	OM037668.1_00099
OG0000046	BD143114.1_00018	OM037668.1_00097
OG0000047	BD143114.1_00017	OM037668.1_00085
OG0000048	BD143114.1_00016	OM037668.1_00096
OG0000049	BD143114.1_00122	OM037668.1_00020
OG0000050	BD143114.1_00118	OM037668.1_00018
OG0000051	BD143114.1_00117	OM037668.1_00130
OG0000052	BD143114.1_00105	OM037668.1_00081
OG0000053	BD143114.1_00103	OM037668.1_00032
OG0000054	BD143114.1_00100	OM037668.1_00033
OG0000055	BD143114.1_00088	OM037668.1_00075
OG0000056	BD143114.1_00083	OM037668.1_00079
OG0000057	BD143114.1_00081	OM037668.1_00134
OG0000058	BD143114.1_00072	OM037668.1_00031
OG0000059	BD143114.1_00065	OM037668.1_00054
OG0000060	BD143114.1_00057	OM037668.1_00047
OG0000061	BD143114.1_00108	OM037668.1_00083
OG0000062	BD143114.1_00049	OM037668.1_00064
OG0000096	BD143114.1_00079	OM037668.1_00091
OG0000113	BD143114.1_00054	OM037668.1_00042
OG0000114	BD143114.1_00064	OM037668.1_00053
OG0000115	BD143114.1_00022	OM037668.1_00101
OG0000117	BD143114.1_00107	OM037668.1_00082
