Orthogroup	BD143114.1	MN562489.1
OG0000000	BD143114.1_00045	MN562489.1_00102
OG0000001	BD143114.1_00068	MN562489.1_00080
OG0000002	BD143114.1_00123	MN562489.1_00002, MN562489.1_00010, MN562489.1_00131
OG0000003	BD143114.1_00067	MN562489.1_00081
OG0000004	BD143114.1_00060	MN562489.1_00087
OG0000005	BD143114.1_00046	MN562489.1_00099
OG0000006	BD143114.1_00001	MN562489.1_00116
OG0000007	BD143114.1_00109	MN562489.1_00052
OG0000008	BD143114.1_00087	MN562489.1_00060
OG0000009	BD143114.1_00085	MN562489.1_00059
OG0000010	BD143114.1_00070	MN562489.1_00124
OG0000011	BD143114.1_00053	MN562489.1_00096
OG0000012	BD143114.1_00044	MN562489.1_00012
OG0000013	BD143114.1_00042	MN562489.1_00011
OG0000014	BD143114.1_00040	MN562489.1_00008
OG0000015	BD143114.1_00019	MN562489.1_00038
OG0000016	BD143114.1_00013	MN562489.1_00128
OG0000017	BD143114.1_00114	MN562489.1_00046
OG0000018	BD143114.1_00113	MN562489.1_00047
OG0000019	BD143114.1_00092	MN562489.1_00063
OG0000020	BD143114.1_00077	MN562489.1_00058
OG0000021	BD143114.1_00076	MN562489.1_00133
OG0000022	BD143114.1_00031	MN562489.1_00023
OG0000023	BD143114.1_00104	MN562489.1_00056
OG0000024	BD143114.1_00089	MN562489.1_00062
OG0000025	BD143114.1_00012	MN562489.1_00113
OG0000026	BD143114.1_00112	MN562489.1_00049
OG0000027	BD143114.1_00028	MN562489.1_00026
OG0000028	BD143114.1_00069	MN562489.1_00126
OG0000029	BD143114.1_00015	MN562489.1_00041
OG0000030	BD143114.1_00073	MN562489.1_00107
OG0000031	BD143114.1_00119	MN562489.1_00118
OG0000032	BD143114.1_00110, BD143114.1_00111	MN562489.1_00050
OG0000033	BD143114.1_00074, BD143114.1_00075	MN562489.1_00109
OG0000034	BD143114.1_00062	MN562489.1_00086
OG0000035	BD143114.1_00061	MN562489.1_00132
OG0000036	BD143114.1_00056	MN562489.1_00091
OG0000037	BD143114.1_00055	MN562489.1_00092
OG0000038	BD143114.1_00052	MN562489.1_00097
OG0000039	BD143114.1_00051	MN562489.1_00089
OG0000040	BD143114.1_00043	MN562489.1_00134
OG0000041	BD143114.1_00039	MN562489.1_00013
OG0000042	BD143114.1_00027	MN562489.1_00030
OG0000043	BD143114.1_00026	MN562489.1_00031
OG0000044	BD143114.1_00021	MN562489.1_00036
OG0000045	BD143114.1_00020	MN562489.1_00037
OG0000046	BD143114.1_00018	MN562489.1_00039
OG0000047	BD143114.1_00017	MN562489.1_00051
OG0000048	BD143114.1_00016	MN562489.1_00040
OG0000049	BD143114.1_00122	MN562489.1_00117
OG0000050	BD143114.1_00118	MN562489.1_00119
OG0000051	BD143114.1_00117	MN562489.1_00005
OG0000052	BD143114.1_00105	MN562489.1_00055
OG0000053	BD143114.1_00103	MN562489.1_00105
OG0000054	BD143114.1_00100	MN562489.1_00104
OG0000055	BD143114.1_00088	MN562489.1_00061
OG0000056	BD143114.1_00083	MN562489.1_00057
OG0000057	BD143114.1_00081	MN562489.1_00001
OG0000058	BD143114.1_00072	MN562489.1_00106
OG0000059	BD143114.1_00065	MN562489.1_00083
OG0000060	BD143114.1_00057	MN562489.1_00090
OG0000061	BD143114.1_00108	MN562489.1_00053
OG0000062	BD143114.1_00049	MN562489.1_00073
OG0000096	BD143114.1_00079	MN562489.1_00045
OG0000113	BD143114.1_00054	MN562489.1_00095
OG0000114	BD143114.1_00064	MN562489.1_00084
OG0000115	BD143114.1_00022	MN562489.1_00035
OG0000117	BD143114.1_00107	MN562489.1_00054
