Orthogroup	BD143114.1	NC_005946.1
OG0000000	BD143114.1_00045	NC_005946.1_00010
OG0000001	BD143114.1_00068	NC_005946.1_00091
OG0000003	BD143114.1_00067	NC_005946.1_00053
OG0000004	BD143114.1_00060	NC_005946.1_00057
OG0000005	BD143114.1_00046	NC_005946.1_00095
OG0000006	BD143114.1_00001	NC_005946.1_00042
OG0000007	BD143114.1_00109	NC_005946.1_00002
OG0000008	BD143114.1_00087	NC_005946.1_00028
OG0000009	BD143114.1_00085	NC_005946.1_00092
OG0000010	BD143114.1_00070	NC_005946.1_00038
OG0000011	BD143114.1_00053	NC_005946.1_00060
OG0000012	BD143114.1_00044	NC_005946.1_00083
OG0000013	BD143114.1_00042	NC_005946.1_00087
OG0000014	BD143114.1_00040	NC_005946.1_00061
OG0000015	BD143114.1_00019	NC_005946.1_00022
OG0000016	BD143114.1_00013	NC_005946.1_00011
OG0000017	BD143114.1_00114	NC_005946.1_00094
OG0000018	BD143114.1_00113	NC_005946.1_00082
OG0000019	BD143114.1_00092	NC_005946.1_00023
OG0000020	BD143114.1_00077	NC_005946.1_00016
OG0000021	BD143114.1_00076	NC_005946.1_00021
OG0000022	BD143114.1_00031	NC_005946.1_00089
OG0000023	BD143114.1_00104	NC_005946.1_00014
OG0000024	BD143114.1_00089	NC_005946.1_00086
OG0000026	BD143114.1_00112	NC_005946.1_00049
OG0000027	BD143114.1_00028	NC_005946.1_00085
OG0000112	BD143114.1_00120	NC_005946.1_00006
