Orthogroup	BD143114.1	AY779031.1
OG0000000	BD143114.1_00045	AY779031.1_00034
OG0000001	BD143114.1_00068	AY779031.1_00007
OG0000002	BD143114.1_00123	AY779031.1_00085
OG0000003	BD143114.1_00067	AY779031.1_00008
OG0000004	BD143114.1_00060	AY779031.1_00015, AY779031.1_00016
OG0000005	BD143114.1_00046	AY779031.1_00033
OG0000006	BD143114.1_00001	AY779031.1_00083, AY779031.1_00084
OG0000007	BD143114.1_00109	AY779031.1_00098
OG0000008	BD143114.1_00087	AY779031.1_00121
OG0000009	BD143114.1_00085	AY779031.1_00122
OG0000010	BD143114.1_00070	AY779031.1_00005
OG0000011	BD143114.1_00053	AY779031.1_00023
OG0000012	BD143114.1_00044	AY779031.1_00035
OG0000013	BD143114.1_00042	AY779031.1_00037
OG0000014	BD143114.1_00040	AY779031.1_00039
OG0000015	BD143114.1_00019	AY779031.1_00061
OG0000016	BD143114.1_00013	AY779031.1_00068
OG0000017	BD143114.1_00114	AY779031.1_00094
OG0000018	BD143114.1_00113	AY779031.1_00095
OG0000019	BD143114.1_00092	AY779031.1_00116
OG0000020	BD143114.1_00077	AY779031.1_00129
OG0000021	BD143114.1_00076	AY779031.1_00130
OG0000022	BD143114.1_00031	AY779031.1_00049
OG0000023	BD143114.1_00104	AY779031.1_00103
OG0000024	BD143114.1_00089	AY779031.1_00119
OG0000025	BD143114.1_00012	AY779031.1_00069
OG0000026	BD143114.1_00112	AY779031.1_00096
OG0000027	BD143114.1_00028	AY779031.1_00052
OG0000028	BD143114.1_00069	AY779031.1_00006
OG0000029	BD143114.1_00015	AY779031.1_00066
OG0000030	BD143114.1_00073	AY779031.1_00001
OG0000031	BD143114.1_00119	AY779031.1_00089
OG0000032	BD143114.1_00110, BD143114.1_00111	AY779031.1_00097
OG0000033	BD143114.1_00074, BD143114.1_00075	AY779031.1_00131
OG0000034	BD143114.1_00062	AY779031.1_00013
OG0000035	BD143114.1_00061	AY779031.1_00014
OG0000036	BD143114.1_00056	AY779031.1_00019
OG0000037	BD143114.1_00055	AY779031.1_00020
OG0000038	BD143114.1_00052	AY779031.1_00024
OG0000039	BD143114.1_00051	AY779031.1_00025
