Orthogroup	LS484712	MG570131
OG0000000	LS484712.1_00114 hypothetical protein	MG570131.1_00031 hypothetical protein
OG0000001	LS484712.1_00095 hypothetical protein	MG570131.1_00009 hypothetical protein
OG0000002	LS484712.1_00187 hypothetical protein	MG570131.1_00016 hypothetical protein
OG0000003	LS484712.1_00248 hypothetical protein	MG570131.1_00030 hypothetical protein
OG0000004	LS484712.1_00130 hypothetical protein	MG570131.1_00110 hypothetical protein
OG0000005	LS484712.1_00096 hypothetical protein	NLI interacting factor-like phosphatase_refgen NLI interacting factor-like phosphatase
OG0000006	LS484712.1_00142 Major capsid protein	MG570131.1_00008 Major capsid protein
OG0000007	LS484712.1_00200 hypothetical protein	MG570131.1_00023 hypothetical protein
OG0000008	LS484712.1_00188 hypothetical protein	MG570131.1_00032 hypothetical protein
OG0000009	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	MG570131.1_00036 DNA-directed RNA polymerase subunit 2
OG0000010	LS484712.1_00143 hypothetical protein	MG570131.1_00057 hypothetical protein
OG0000011	LS484712.1_00203 hypothetical protein	MG570131.1_00063 hypothetical protein
OG0000012	LS484712.1_00192 hypothetical protein	MG570131.1_00083 hypothetical protein
OG0000013	LS484712.1_00050 hypothetical protein	MG570131.1_00087 hypothetical protein
OG0000014	LS484712.1_00053 hypothetical protein	MG570131.1_00103 hypothetical protein
OG0000015	LS484712.1_00202 hypothetical protein	MG570131.1_00118 hypothetical protein
OG0000016	LS484712.1_00135 hypothetical protein	MG570131.1_00119 hypothetical protein
OG0000017	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	MG570131.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000018	LS484712.1_00240 hypothetical protein	MG570131.1_00034 hypothetical protein
OG0000019	LS484712.1_00040 hypothetical protein	MG570131.1_00073 hypothetical protein
OG0000024	LS484712.1_00117 hypothetical protein	MG570131.1_00045 hypothetical protein
OG0000065	LS484712.1_00002 hypothetical protein	MG570131.1_00066 hypothetical protein
