Orthogroup	LS484712	AF303741
OG0000000	LS484712.1_00114 hypothetical protein	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	LS484712.1_00095 hypothetical protein	AF303741.1_00047 hypothetical protein
OG0000002	LS484712.1_00187 hypothetical protein	AF303741.1_00035 hypothetical protein
OG0000003	LS484712.1_00248 hypothetical protein	AF303741.1_00165 hypothetical protein
OG0000004	LS484712.1_00130 hypothetical protein	AF303741.1_00176 hypothetical protein
OG0000005	LS484712.1_00096 hypothetical protein	AF303741.1_00158 hypothetical protein
OG0000006	LS484712.1_00142 Major capsid protein	AF303741.1_00125 Major capsid protein
OG0000007	LS484712.1_00200 hypothetical protein	AF303741.1_00011 hypothetical protein
OG0000008	LS484712.1_00188 hypothetical protein	AF303741.1_00156 hypothetical protein
OG0000009	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000010	LS484712.1_00143 hypothetical protein	AF303741.1_00023 hypothetical protein
OG0000011	LS484712.1_00203 hypothetical protein	AF303741.1_00006 hypothetical protein
OG0000012	LS484712.1_00192 hypothetical protein	AF303741.1_00137 hypothetical protein
OG0000013	LS484712.1_00050 hypothetical protein	AF303741.1_00149 hypothetical protein
OG0000014	LS484712.1_00053 hypothetical protein	AF303741.1_00081 hypothetical protein
OG0000015	LS484712.1_00202 hypothetical protein	AF303741.1_00026 hypothetical protein
OG0000016	LS484712.1_00135 hypothetical protein	AF303741.1_00046 hypothetical protein
OG0000017	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
OG0000018	LS484712.1_00240 hypothetical protein	AF303741.1_00063 hypothetical protein
OG0000019	LS484712.1_00040 hypothetical protein	AF303741.1_00132 hypothetical protein
OG0000024	LS484712.1_00117 hypothetical protein	AF303741.1_00154 FAD-linked sulfhydryl oxidase
OG0000128	LS484712.1_00198 hypothetical protein	AF303741.1_00178 hypothetical protein, AF303741.1_00121 hypothetical protein, AF303741.1_00195 hypothetical protein
OG0000132	LS484712.1_00057 hypothetical protein	AF303741.1_00126 hypothetical protein
OG0000135	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit	AF303741.1_00031 hypothetical protein
OG0000136	LS484712.1_00063 hypothetical protein	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein
OG0000142	LS484712.1_00133 hypothetical protein	AF303741.1_00072 hypothetical protein
OG0000143	LS484712.1_00197 hypothetical protein	AF303741.1_00157 hypothetical protein
OG0000146	LS484712.1_00211 hypothetical protein	AF303741.1_00145 hypothetical protein, AF303741.1_00090 hypothetical protein
OG0000161	LS484712.1_00116 hypothetical protein	AF303741.1_00056 hypothetical protein
OG0000162	LS484712.1_00113 hypothetical protein	AF303741.1_00068 hypothetical protein, AF303741.1_00067 hypothetical protein
OG0000163	LS484712.1_00140 hypothetical protein	AF303741.1_00076 hypothetical protein
OG0000164	LS484712.1_00195 hypothetical protein	AF303741.1_00087 hypothetical protein
OG0000165	LS484712.1_00212 hypothetical protein	AF303741.1_00091 DNA ligase
OG0000166	LS484712.1_00112 hypothetical protein	AF303741.1_00096 hypothetical protein
OG0000170	LS484712.1_00184 hypothetical protein	AF303741.1_00179 hypothetical protein
OG0000187	LS484712.1_00196 hypothetical protein	AF303741.1_00122 hypothetical protein
OG0000189	LS484712.1_00224 hypothetical protein	AF303741.1_00146 hypothetical protein
OG0000192	LS484712.1_00060 hypothetical protein	AF303741.1_00151 hypothetical protein
OG0000195	LS484712.1_00163 hypothetical protein	AF303741.1_00177 hypothetical protein
OG0000196	LS484712.1_00120 hypothetical protein	AF303741.1_00184 hypothetical protein
OG0000197	LS484712.1_00106 hypothetical protein	AF303741.1_00193 hypothetical protein
OG0000206	LS484712.1_00052 hypothetical protein	AF303741.1_00008 hypothetical protein
OG0000213	LS484712.1_00233 hypothetical protein	AF303741.1_00074 hypothetical protein
