Orthogroup	LS484712	KX643370
OG0000000	LS484712.1_00114 hypothetical protein	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	LS484712.1_00095 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000002	LS484712.1_00187 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000003	LS484712.1_00248 hypothetical protein	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	LS484712.1_00130 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	LS484712.1_00096 hypothetical protein	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000006	LS484712.1_00142 Major capsid protein	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000007	LS484712.1_00200 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000008	LS484712.1_00188 hypothetical protein	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000009	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000010	LS484712.1_00143 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000011	LS484712.1_00203 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000012	LS484712.1_00192 hypothetical protein	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000013	LS484712.1_00050 hypothetical protein	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000014	LS484712.1_00053 hypothetical protein	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000015	LS484712.1_00202 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000016	LS484712.1_00135 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000017	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000018	LS484712.1_00240 hypothetical protein	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000019	LS484712.1_00040 hypothetical protein	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000024	LS484712.1_00117 hypothetical protein	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000132	LS484712.1_00057 hypothetical protein	Lymph_LDV3_KX643370_00121 hypothetical protein
OG0000135	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit
OG0000136	LS484712.1_00063 hypothetical protein	Lymph_LDV3_KX643370_00145 hypothetical protein
OG0000143	LS484712.1_00197 hypothetical protein	Lymph_LDV3_KX643370_00043 hypothetical protein
