Orthogroup	LS484712	MK637631
OG0000000	LS484712.1_00114 hypothetical protein	MK637631_00115 hypothetical protein
OG0000001	LS484712.1_00095 hypothetical protein	MK637631_00025 hypothetical protein
OG0000002	LS484712.1_00187 hypothetical protein	MK637631_00030 hypothetical protein
OG0000003	LS484712.1_00248 hypothetical protein	MK637631_00114 hypothetical protein
OG0000004	LS484712.1_00130 hypothetical protein	MK637631_00105 hypothetical protein
OG0000005	LS484712.1_00096 hypothetical protein	MK637631_00070 hypothetical protein
OG0000006	LS484712.1_00142 Major capsid protein	MK637631_00044 Major capsid protein
OG0000007	LS484712.1_00200 hypothetical protein	MK637631_00017 hypothetical protein
OG0000008	LS484712.1_00188 hypothetical protein	MK637631_00043 hypothetical protein
OG0000009	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	MK637631_00024 DNA-directed RNA polymerase subunit 2
OG0000010	LS484712.1_00143 hypothetical protein	MK637631_00086 hypothetical protein
OG0000011	LS484712.1_00203 hypothetical protein	MK637631_00066 hypothetical protein
OG0000012	LS484712.1_00192 hypothetical protein	MK637631_00011 hypothetical protein
OG0000013	LS484712.1_00050 hypothetical protein	MK637631_00056 hypothetical protein
OG0000014	LS484712.1_00053 hypothetical protein	MK637631_00100 hypothetical protein
OG0000015	LS484712.1_00202 hypothetical protein	MK637631_00106 hypothetical protein
OG0000016	LS484712.1_00135 hypothetical protein	MK637631_00046 hypothetical protein
OG0000017	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	MK637631_00059 Ribonucleoside-diphosphate reductase small chain
OG0000019	LS484712.1_00040 hypothetical protein	MK637631_00094 hypothetical protein
OG0000024	LS484712.1_00117 hypothetical protein	MK637631_00074 hypothetical protein
