Orthogroup	OQ475017.1	HF920633.1
OG0000000	OQ475017.1_00030	HF920633.1_00044
OG0000001	OQ475017.1_00008	HF920633.1_00069
OG0000002	OQ475017.1_00007	HF920633.1_00073
OG0000003	OQ475017.1_00015	HF920633.1_00127
OG0000004	OQ475017.1_00110	HF920633.1_00079
OG0000005	OQ475017.1_00093	HF920633.1_00085
OG0000006	OQ475017.1_00073	HF920633.1_00025
OG0000007	OQ475017.1_00087	HF920633.1_00091
OG0000008	OQ475017.1_00029	HF920633.1_00043
OG0000009	OQ475017.1_00112	HF920633.1_00122
OG0000011	OQ475017.1_00062	HF920633.1_00118
OG0000012	OQ475017.1_00022	HF920633.1_00001
OG0000013	OQ475017.1_00056	HF920633.1_00067
OG0000014	OQ475017.1_00120	HF920633.1_00138
OG0000015	OQ475017.1_00121	HF920633.1_00058
OG0000016	OQ475017.1_00084	HF920633.1_00094
OG0000017	OQ475017.1_00033	HF920633.1_00158
OG0000018	OQ475017.1_00105	HF920633.1_00003
OG0000019	OQ475017.1_00083	HF920633.1_00163
OG0000020	OQ475017.1_00031	HF920633.1_00080
OG0000021	OQ475017.1_00005	HF920633.1_00097
OG0000022	OQ475017.1_00035	HF920633.1_00175
OG0000023	OQ475017.1_00044	HF920633.1_00017
OG0000024	OQ475017.1_00027	HF920633.1_00062
OG0000025	OQ475017.1_00063	HF920633.1_00047
