Orthogroup	OQ475017.1	MG570131.1
OG0000000	OQ475017.1_00030	MG570131.1_00031
OG0000001	OQ475017.1_00008	MG570131.1_00009
OG0000002	OQ475017.1_00007	MG570131.1_00008, MG570131.1_00007
OG0000003	OQ475017.1_00015	MG570131.1_00016
OG0000004	OQ475017.1_00110	MG570131.1_00108
OG0000005	OQ475017.1_00093	MG570131.1_00092
OG0000006	OQ475017.1_00073	MG570131.1_00073
OG0000007	OQ475017.1_00087	MG570131.1_00087
OG0000008	OQ475017.1_00029	MG570131.1_00030
OG0000009	OQ475017.1_00112	MG570131.1_00110
OG0000010	OQ475017.1_00074	MG570131.1_00074
OG0000011	OQ475017.1_00062	MG570131.1_00063
OG0000012	OQ475017.1_00022	MG570131.1_00023
OG0000013	OQ475017.1_00056	MG570131.1_00057
OG0000014	OQ475017.1_00120	MG570131.1_00118
OG0000015	OQ475017.1_00121	MG570131.1_00119
OG0000016	OQ475017.1_00084	MG570131.1_00084
OG0000017	OQ475017.1_00033	MG570131.1_00034
OG0000018	OQ475017.1_00105	MG570131.1_00103
OG0000019	OQ475017.1_00083	MG570131.1_00083
OG0000020	OQ475017.1_00031	MG570131.1_00032
OG0000021	OQ475017.1_00005	MG570131.1_00005
OG0000022	OQ475017.1_00035	MG570131.1_00036
OG0000023	OQ475017.1_00044	MG570131.1_00045
OG0000024	OQ475017.1_00027	MG570131.1_00027
OG0000025	OQ475017.1_00063	MG570131.1_00064
OG0000026	OQ475017.1_00108	MG570131.1_00106
OG0000027	OQ475017.1_00085	MG570131.1_00085
OG0000028	OQ475017.1_00047	MG570131.1_00048
OG0000029	OQ475017.1_00060	MG570131.1_00061
OG0000030	OQ475017.1_00001	MG570131.1_00001
OG0000031	OQ475017.1_00006	MG570131.1_00006
OG0000033	OQ475017.1_00086	MG570131.1_00086
OG0000034	OQ475017.1_00122	MG570131.1_00120
OG0000035	OQ475017.1_00013	MG570131.1_00014
OG0000036	OQ475017.1_00014	MG570131.1_00015
OG0000037	OQ475017.1_00019	MG570131.1_00020
OG0000038	OQ475017.1_00020	MG570131.1_00021
OG0000039	OQ475017.1_00023	MG570131.1_00024
OG0000040	OQ475017.1_00024	MG570131.1_00025
OG0000041	OQ475017.1_00032	MG570131.1_00033
OG0000042	OQ475017.1_00036	MG570131.1_00037
OG0000043	OQ475017.1_00048	MG570131.1_00049
OG0000044	OQ475017.1_00049	MG570131.1_00050
OG0000045	OQ475017.1_00054	MG570131.1_00055
OG0000046	OQ475017.1_00055	MG570131.1_00056
OG0000047	OQ475017.1_00057	MG570131.1_00058
OG0000048	OQ475017.1_00058	MG570131.1_00059
OG0000049	OQ475017.1_00059	MG570131.1_00060
OG0000050	OQ475017.1_00075	MG570131.1_00075
OG0000051	OQ475017.1_00079	MG570131.1_00079
OG0000052	OQ475017.1_00080	MG570131.1_00080
OG0000053	OQ475017.1_00092	MG570131.1_00091
OG0000054	OQ475017.1_00094	MG570131.1_00093
OG0000055	OQ475017.1_00097	MG570131.1_00096
