Orthogroup	OQ475017.1	KF938901.1
OG0000000	OQ475017.1_00030	KF938901.1_00126
OG0000001	OQ475017.1_00008	KF938901.1_00080
OG0000002	OQ475017.1_00007	KF938901.1_00044
OG0000003	OQ475017.1_00015	KF938901.1_00005
OG0000004	OQ475017.1_00110	KF938901.1_00043
OG0000005	OQ475017.1_00093	KF938901.1_00125
OG0000006	OQ475017.1_00073	KF938901.1_00072
OG0000007	OQ475017.1_00087	KF938901.1_00053
OG0000008	OQ475017.1_00029	KF938901.1_00067
OG0000009	OQ475017.1_00112	KF938901.1_00114
OG0000011	OQ475017.1_00062	KF938901.1_00092
OG0000012	OQ475017.1_00022	KF938901.1_00054
OG0000013	OQ475017.1_00056	KF938901.1_00060
OG0000014	OQ475017.1_00120	KF938901.1_00074
OG0000015	OQ475017.1_00121	KF938901.1_00095
OG0000016	OQ475017.1_00084	KF938901.1_00046
OG0000017	OQ475017.1_00033	KF938901.1_00123
OG0000018	OQ475017.1_00105	KF938901.1_00025
OG0000019	OQ475017.1_00083	KF938901.1_00012
OG0000020	OQ475017.1_00031	KF938901.1_00047
OG0000021	OQ475017.1_00005	KF938901.1_00124
OG0000022	OQ475017.1_00035	KF938901.1_00023
OG0000023	OQ475017.1_00044	KF938901.1_00031
OG0000024	OQ475017.1_00027	KF938901.1_00094
OG0000025	OQ475017.1_00063	KF938901.1_00093
