Orthogroup	OQ475017.1	MN803438.1
OG0000000	OQ475017.1_00030	MN803438.1_00124
OG0000001	OQ475017.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000002	OQ475017.1_00007	MN803438.1_00023
OG0000003	OQ475017.1_00015	MN803438.1_00113
OG0000004	OQ475017.1_00110	MN803438.1_00104
OG0000005	OQ475017.1_00093	MN803438.1_00071
OG0000006	OQ475017.1_00073	MN803438.1_00142
OG0000007	OQ475017.1_00087	MN803438.1_00027
OG0000008	OQ475017.1_00029	MN803438.1_00106
OG0000009	OQ475017.1_00112	MN803438.1_00109
OG0000011	OQ475017.1_00062	MN803438.1_00049
OG0000012	OQ475017.1_00022	MN803438.1_00128
OG0000013	OQ475017.1_00056	MN803438.1_00007
OG0000014	OQ475017.1_00120	MN803438.1_00070
OG0000015	OQ475017.1_00121	MN803438.1_00046
OG0000016	OQ475017.1_00084	MN803438.1_00122
OG0000017	OQ475017.1_00033	MN803438.1_00035
OG0000018	OQ475017.1_00105	MN803438.1_00051
OG0000019	OQ475017.1_00083	MN803438.1_00097
OG0000020	OQ475017.1_00031	MN803438.1_00068
OG0000021	OQ475017.1_00005	MN803438.1_00089
OG0000022	OQ475017.1_00035	MN803438.1_00013
OG0000023	OQ475017.1_00044	MN803438.1_00077
OG0000024	OQ475017.1_00027	MN803438.1_00024
OG0000026	OQ475017.1_00108	MN803438.1_00126
OG0000027	OQ475017.1_00085	MN803438.1_00037
OG0000028	OQ475017.1_00047	MN803438.1_00054
OG0000031	OQ475017.1_00006	MN803438.1_00145
