Orthogroup	AY532606.1	KC244182.1
OG0000000	AY532606.1_00030	KC244182.1_00029
OG0000001	AY532606.1_00007	KC244182.1_00008
OG0000002	AY532606.1_00006	KC244182.1_00007
OG0000003	AY532606.1_00014	KC244182.1_00014
OG0000004	AY532606.1_00116, AY532606.1_00117	KC244182.1_00112
OG0000005	AY532606.1_00099, AY532606.1_00098	KC244182.1_00095
OG0000006	AY532606.1_00078	KC244182.1_00076
OG0000007	AY532606.1_00093	KC244182.1_00090
OG0000008	AY532606.1_00029	KC244182.1_00028
OG0000009	AY532606.1_00120, AY532606.1_00119	KC244182.1_00114
OG0000010	AY532606.1_00079	KC244182.1_00077
OG0000011	AY532606.1_00064	KC244182.1_00063
OG0000012	AY532606.1_00020	KC244182.1_00022
OG0000013	AY532606.1_00057	KC244182.1_00056
OG0000014	AY532606.1_00125	KC244182.1_00121
OG0000015	AY532606.1_00126	KC244182.1_00122
OG0000016	AY532606.1_00089	KC244182.1_00087
OG0000017	AY532606.1_00033	KC244182.1_00032
OG0000018	AY532606.1_00111	KC244182.1_00107
OG0000019	AY532606.1_00088	KC244182.1_00086
OG0000020	AY532606.1_00031	KC244182.1_00030
OG0000021	AY532606.1_00004	KC244182.1_00005
OG0000022	AY532606.1_00035	KC244182.1_00034
OG0000024	AY532606.1_00026	KC244182.1_00025
OG0000025	AY532606.1_00066, AY532606.1_00065	KC244182.1_00064
OG0000026	AY532606.1_00114	KC244182.1_00110
OG0000027	AY532606.1_00090	KC244182.1_00088
OG0000028	AY532606.1_00047	KC244182.1_00046
OG0000029	AY532606.1_00062	KC244182.1_00061
OG0000030	AY532606.1_00001	KC244182.1_00001
OG0000031	AY532606.1_00005	KC244182.1_00006
OG0000032	AY532606.1_00083	KC244182.1_00081
OG0000033	AY532606.1_00091	KC244182.1_00089
OG0000034	AY532606.1_00127	KC244182.1_00123
OG0000035	AY532606.1_00012	KC244182.1_00012
OG0000036	AY532606.1_00013	KC244182.1_00013
OG0000037	AY532606.1_00018	KC244182.1_00018
OG0000038	AY532606.1_00019	KC244182.1_00019
OG0000039	AY532606.1_00021	KC244182.1_00023
OG0000040	AY532606.1_00022	KC244182.1_00024
OG0000041	AY532606.1_00032	KC244182.1_00031
OG0000042	AY532606.1_00036	KC244182.1_00035
OG0000043	AY532606.1_00049	KC244182.1_00048
OG0000044	AY532606.1_00050	KC244182.1_00049
OG0000045	AY532606.1_00055	KC244182.1_00054
OG0000046	AY532606.1_00056	KC244182.1_00055
OG0000047	AY532606.1_00058	KC244182.1_00057
OG0000048	AY532606.1_00059	KC244182.1_00058
OG0000049	AY532606.1_00061	KC244182.1_00060
OG0000050	AY532606.1_00080	KC244182.1_00078
OG0000051	AY532606.1_00084	KC244182.1_00082
OG0000052	AY532606.1_00085	KC244182.1_00083
OG0000053	AY532606.1_00097	KC244182.1_00094
OG0000054	AY532606.1_00100	KC244182.1_00096
OG0000055	AY532606.1_00103	KC244182.1_00099
OG0000056	AY532606.1_00115	KC244182.1_00111
