Orthogroup	AY532606.1	MN803438.1
OG0000000	AY532606.1_00030	MN803438.1_00124
OG0000001	AY532606.1_00007	MN803438.1_00101, MN803438.1_00056
OG0000002	AY532606.1_00006	MN803438.1_00023
OG0000003	AY532606.1_00014	MN803438.1_00113
OG0000004	AY532606.1_00116, AY532606.1_00117	MN803438.1_00104
OG0000005	AY532606.1_00099, AY532606.1_00098	MN803438.1_00071
OG0000006	AY532606.1_00078	MN803438.1_00142
OG0000007	AY532606.1_00093	MN803438.1_00027
OG0000008	AY532606.1_00029	MN803438.1_00106
OG0000009	AY532606.1_00120, AY532606.1_00119	MN803438.1_00109
OG0000011	AY532606.1_00064	MN803438.1_00049
OG0000012	AY532606.1_00020	MN803438.1_00128
OG0000013	AY532606.1_00057	MN803438.1_00007
OG0000014	AY532606.1_00125	MN803438.1_00070
OG0000015	AY532606.1_00126	MN803438.1_00046
OG0000016	AY532606.1_00089	MN803438.1_00122
OG0000017	AY532606.1_00033	MN803438.1_00035
OG0000018	AY532606.1_00111	MN803438.1_00051
OG0000019	AY532606.1_00088	MN803438.1_00097
OG0000020	AY532606.1_00031	MN803438.1_00068
OG0000021	AY532606.1_00004	MN803438.1_00089
OG0000022	AY532606.1_00035	MN803438.1_00013
OG0000024	AY532606.1_00026	MN803438.1_00024
OG0000026	AY532606.1_00114	MN803438.1_00126
OG0000027	AY532606.1_00090	MN803438.1_00037
OG0000028	AY532606.1_00047	MN803438.1_00054
OG0000031	AY532606.1_00005	MN803438.1_00145
