Orthogroup	AY532606.1	KF938901.1
OG0000000	AY532606.1_00030	KF938901.1_00126
OG0000001	AY532606.1_00007	KF938901.1_00080
OG0000002	AY532606.1_00006	KF938901.1_00044
OG0000003	AY532606.1_00014	KF938901.1_00005
OG0000004	AY532606.1_00116, AY532606.1_00117	KF938901.1_00043
OG0000005	AY532606.1_00099, AY532606.1_00098	KF938901.1_00125
OG0000006	AY532606.1_00078	KF938901.1_00072
OG0000007	AY532606.1_00093	KF938901.1_00053
OG0000008	AY532606.1_00029	KF938901.1_00067
OG0000009	AY532606.1_00120, AY532606.1_00119	KF938901.1_00114
OG0000011	AY532606.1_00064	KF938901.1_00092
OG0000012	AY532606.1_00020	KF938901.1_00054
OG0000013	AY532606.1_00057	KF938901.1_00060
OG0000014	AY532606.1_00125	KF938901.1_00074
OG0000015	AY532606.1_00126	KF938901.1_00095
OG0000016	AY532606.1_00089	KF938901.1_00046
OG0000017	AY532606.1_00033	KF938901.1_00123
OG0000018	AY532606.1_00111	KF938901.1_00025
OG0000019	AY532606.1_00088	KF938901.1_00012
OG0000020	AY532606.1_00031	KF938901.1_00047
OG0000021	AY532606.1_00004	KF938901.1_00124
OG0000022	AY532606.1_00035	KF938901.1_00023
OG0000024	AY532606.1_00026	KF938901.1_00094
OG0000025	AY532606.1_00066, AY532606.1_00065	KF938901.1_00093
