Orthogroup	AY532606.1	HF920633.1
OG0000000	AY532606.1_00030	HF920633.1_00044
OG0000001	AY532606.1_00007	HF920633.1_00069
OG0000002	AY532606.1_00006	HF920633.1_00073
OG0000003	AY532606.1_00014	HF920633.1_00127
OG0000004	AY532606.1_00116, AY532606.1_00117	HF920633.1_00079
OG0000005	AY532606.1_00099, AY532606.1_00098	HF920633.1_00085
OG0000006	AY532606.1_00078	HF920633.1_00025
OG0000007	AY532606.1_00093	HF920633.1_00091
OG0000008	AY532606.1_00029	HF920633.1_00043
OG0000009	AY532606.1_00120, AY532606.1_00119	HF920633.1_00122
OG0000011	AY532606.1_00064	HF920633.1_00118
OG0000012	AY532606.1_00020	HF920633.1_00001
OG0000013	AY532606.1_00057	HF920633.1_00067
OG0000014	AY532606.1_00125	HF920633.1_00138
OG0000015	AY532606.1_00126	HF920633.1_00058
OG0000016	AY532606.1_00089	HF920633.1_00094
OG0000017	AY532606.1_00033	HF920633.1_00158
OG0000018	AY532606.1_00111	HF920633.1_00003
OG0000019	AY532606.1_00088	HF920633.1_00163
OG0000020	AY532606.1_00031	HF920633.1_00080
OG0000021	AY532606.1_00004	HF920633.1_00097
OG0000022	AY532606.1_00035	HF920633.1_00175
OG0000024	AY532606.1_00026	HF920633.1_00062
OG0000025	AY532606.1_00066, AY532606.1_00065	HF920633.1_00047
