Orthogroup	Lymph_LCD4_MN803438.1	Rana_FV3_NC_005946.1
OG0000000	Lymph_LCD4_MN803438.1_00124	Rana_FV3_NC_005946.1_00010
OG0000001	Lymph_LCD4_MN803438.1_00023	Rana_FV3_NC_005946.1_00091
OG0000002	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101	Rana_FV3_NC_005946.1_00053
OG0000003	Lymph_LCD4_MN803438.1_00113	Rana_FV3_NC_005946.1_00057
OG0000004	Lymph_LCD4_MN803438.1_00104	Rana_FV3_NC_005946.1_00028
OG0000005	Lymph_LCD4_MN803438.1_00027	Rana_FV3_NC_005946.1_00002
OG0000006	Lymph_LCD4_MN803438.1_00106	Rana_FV3_NC_005946.1_00095
OG0000007	Lymph_LCD4_MN803438.1_00142	Rana_FV3_NC_005946.1_00042
OG0000008	Lymph_LCD4_MN803438.1_00109	Rana_FV3_NC_005946.1_00092
OG0000009	Lymph_LCD4_MN803438.1_00071	Rana_FV3_NC_005946.1_00014
OG0000011	Lymph_LCD4_MN803438.1_00097	Rana_FV3_NC_005946.1_00094
OG0000012	Lymph_LCD4_MN803438.1_00013	Rana_FV3_NC_005946.1_00061
OG0000013	Lymph_LCD4_MN803438.1_00051	Rana_FV3_NC_005946.1_00023
OG0000014	Lymph_LCD4_MN803438.1_00122	Rana_FV3_NC_005946.1_00082
OG0000015	Lymph_LCD4_MN803438.1_00068	Rana_FV3_NC_005946.1_00083
OG0000016	Lymph_LCD4_MN803438.1_00128	Rana_FV3_NC_005946.1_00060
OG0000017	Lymph_LCD4_MN803438.1_00007	Rana_FV3_NC_005946.1_00022
OG0000018	Lymph_LCD4_MN803438.1_00070	Rana_FV3_NC_005946.1_00016
OG0000019	Lymph_LCD4_MN803438.1_00049	Rana_FV3_NC_005946.1_00011
OG0000020	Lymph_LCD4_MN803438.1_00046	Rana_FV3_NC_005946.1_00021
OG0000021	Lymph_LCD4_MN803438.1_00035	Rana_FV3_NC_005946.1_00087
OG0000022	Lymph_LCD4_MN803438.1_00089	Rana_FV3_NC_005946.1_00038
OG0000023	Lymph_LCD4_MN803438.1_00077	Rana_FV3_NC_005946.1_00089
OG0000024	Lymph_LCD4_MN803438.1_00024	Rana_FV3_NC_005946.1_00067
OG0000026	Lymph_LCD4_MN803438.1_00126	Rana_FV3_NC_005946.1_00086
OG0000027	Lymph_LCD4_MN803438.1_00037	Rana_FV3_NC_005946.1_00049
OG0000028	Lymph_LCD4_MN803438.1_00054	Rana_FV3_NC_005946.1_00085
OG0000113	Lymph_LCD4_MN803438.1_00112	Rana_FV3_NC_005946.1_00020
OG0000133	Lymph_LCD4_MN803438.1_00006	Rana_FV3_NC_005946.1_00079
OG0000134	Lymph_LCD4_MN803438.1_00115	Rana_FV3_NC_005946.1_00001
OG0000137	Lymph_LCD4_MN803438.1_00105	Rana_FV3_NC_005946.1_00039
OG0000150	Lymph_LCD4_MN803438.1_00010	Rana_FV3_NC_005946.1_00052
OG0000152	Lymph_LCD4_MN803438.1_00003	Rana_FV3_NC_005946.1_00044
OG0000160	Lymph_LCD4_MN803438.1_00078	Rana_FV3_NC_005946.1_00075
OG0000165	Lymph_LCD4_MN803438.1_00092	Rana_FV3_NC_005946.1_00029
OG0000166	Lymph_LCD4_MN803438.1_00028	Rana_FV3_NC_005946.1_00026
OG0000177	Lymph_LCD4_MN803438.1_00030	Rana_FV3_NC_005946.1_00033
OG0000205	Lymph_LCD4_MN803438.1_00044	Rana_FV3_NC_005946.1_00062
OG0000234	Lymph_LCD4_MN803438.1_00008	Rana_FV3_NC_005946.1_00088
OG0000235	Lymph_LCD4_MN803438.1_00026	Rana_FV3_NC_005946.1_00096
OG0000237	Lymph_LCD4_MN803438.1_00099	Rana_FV3_NC_005946.1_00073
OG0000238	Lymph_LCD4_MN803438.1_00110	Rana_FV3_NC_005946.1_00051
OG0000239	Lymph_LCD4_MN803438.1_00136	Rana_FV3_NC_005946.1_00015
