Orthogroup	Lymph_LCD4_MN803438.1	Rana_SGIV_AY521625.1
OG0000000	Lymph_LCD4_MN803438.1_00124	Rana_SGIV_AY521625.1_00091
OG0000001	Lymph_LCD4_MN803438.1_00023	Rana_SGIV_AY521625.1_00064
OG0000002	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101	Rana_SGIV_AY521625.1_00077
OG0000003	Lymph_LCD4_MN803438.1_00113	Rana_SGIV_AY521625.1_00130
OG0000004	Lymph_LCD4_MN803438.1_00104	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
OG0000005	Lymph_LCD4_MN803438.1_00027	Rana_SGIV_AY521625.1_00016
OG0000006	Lymph_LCD4_MN803438.1_00106	Rana_SGIV_AY521625.1_00085
OG0000007	Lymph_LCD4_MN803438.1_00142	Rana_SGIV_AY521625.1_00051
OG0000008	Lymph_LCD4_MN803438.1_00109	Rana_SGIV_AY521625.1_00142
OG0000009	Lymph_LCD4_MN803438.1_00071	Rana_SGIV_AY521625.1_00100
OG0000011	Lymph_LCD4_MN803438.1_00097	Rana_SGIV_AY521625.1_00086
OG0000012	Lymph_LCD4_MN803438.1_00013	Rana_SGIV_AY521625.1_00065
OG0000013	Lymph_LCD4_MN803438.1_00051	Rana_SGIV_AY521625.1_00047
OG0000014	Lymph_LCD4_MN803438.1_00122	Rana_SGIV_AY521625.1_00073
OG0000015	Lymph_LCD4_MN803438.1_00068	Rana_SGIV_AY521625.1_00074
OG0000016	Lymph_LCD4_MN803438.1_00128	Rana_SGIV_AY521625.1_00110
OG0000017	Lymph_LCD4_MN803438.1_00007	Rana_SGIV_AY521625.1_00048
OG0000018	Lymph_LCD4_MN803438.1_00070	Rana_SGIV_AY521625.1_00115
OG0000019	Lymph_LCD4_MN803438.1_00049	Rana_SGIV_AY521625.1_00053
OG0000020	Lymph_LCD4_MN803438.1_00046	Rana_SGIV_AY521625.1_00035
OG0000021	Lymph_LCD4_MN803438.1_00035	Rana_SGIV_AY521625.1_00059
OG0000022	Lymph_LCD4_MN803438.1_00089	Rana_SGIV_AY521625.1_00054
OG0000023	Lymph_LCD4_MN803438.1_00077	Rana_SGIV_AY521625.1_00062
OG0000024	Lymph_LCD4_MN803438.1_00024	Rana_SGIV_AY521625.1_00042
OG0000026	Lymph_LCD4_MN803438.1_00126	Rana_SGIV_AY521625.1_00060
OG0000027	Lymph_LCD4_MN803438.1_00037	Rana_SGIV_AY521625.1_00022
OG0000113	Lymph_LCD4_MN803438.1_00112	Rana_SGIV_AY521625.1_00036
OG0000133	Lymph_LCD4_MN803438.1_00006	Rana_SGIV_AY521625.1_00102
OG0000134	Lymph_LCD4_MN803438.1_00115	Rana_SGIV_AY521625.1_00098
OG0000137	Lymph_LCD4_MN803438.1_00105	Rana_SGIV_AY521625.1_00056
OG0000150	Lymph_LCD4_MN803438.1_00010	Rana_SGIV_AY521625.1_00002
OG0000152	Lymph_LCD4_MN803438.1_00003	Rana_SGIV_AY521625.1_00018
OG0000160	Lymph_LCD4_MN803438.1_00078	Rana_SGIV_AY521625.1_00126
OG0000165	Lymph_LCD4_MN803438.1_00092	Rana_SGIV_AY521625.1_00140
OG0000166	Lymph_LCD4_MN803438.1_00028	Rana_SGIV_AY521625.1_00005
OG0000177	Lymph_LCD4_MN803438.1_00030	Rana_SGIV_AY521625.1_00011
OG0000205	Lymph_LCD4_MN803438.1_00044	Rana_SGIV_AY521625.1_00066
OG0000231	Lymph_LCD4_MN803438.1_00140	Rana_SGIV_AY521625.1_00057
OG0000234	Lymph_LCD4_MN803438.1_00008	Rana_SGIV_AY521625.1_00061
OG0000235	Lymph_LCD4_MN803438.1_00026	Rana_SGIV_AY521625.1_00094
OG0000237	Lymph_LCD4_MN803438.1_00099	Rana_SGIV_AY521625.1_00128
OG0000238	Lymph_LCD4_MN803438.1_00110	Rana_SGIV_AY521625.1_00023
OG0000239	Lymph_LCD4_MN803438.1_00136	Rana_SGIV_AY521625.1_00116
OG0000297	Lymph_LCD4_MN803438.1_00004	Rana_SGIV_AY521625.1_00055
OG0000434	Lymph_LCD4_MN803438.1_00121	Rana_SGIV_AY521625.1_00097
