Orthogroup	Lymph_LCD4_MN803438.1	MCV_ML1_SDDV_OM037668.1
OG0000000	Lymph_LCD4_MN803438.1_00124	MCV_ML1_SDDV_OM037668.1_00035
OG0000001	Lymph_LCD4_MN803438.1_00023	MCV_ML1_SDDV_OM037668.1_00057
OG0000002	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101	MCV_ML1_SDDV_OM037668.1_00056
OG0000003	Lymph_LCD4_MN803438.1_00113	MCV_ML1_SDDV_OM037668.1_00050
OG0000004	Lymph_LCD4_MN803438.1_00104	MCV_ML1_SDDV_OM037668.1_00076
OG0000005	Lymph_LCD4_MN803438.1_00027	MCV_ML1_SDDV_OM037668.1_00084
OG0000006	Lymph_LCD4_MN803438.1_00106	MCV_ML1_SDDV_OM037668.1_00038
OG0000007	Lymph_LCD4_MN803438.1_00142	MCV_ML1_SDDV_OM037668.1_00021
OG0000008	Lymph_LCD4_MN803438.1_00109	MCV_ML1_SDDV_OM037668.1_00077
OG0000009	Lymph_LCD4_MN803438.1_00071	MCV_ML1_SDDV_OM037668.1_00080
OG0000011	Lymph_LCD4_MN803438.1_00097	MCV_ML1_SDDV_OM037668.1_00090
OG0000012	Lymph_LCD4_MN803438.1_00013	MCV_ML1_SDDV_OM037668.1_00127
OG0000013	Lymph_LCD4_MN803438.1_00051	MCV_ML1_SDDV_OM037668.1_00073
OG0000014	Lymph_LCD4_MN803438.1_00122	MCV_ML1_SDDV_OM037668.1_00089
OG0000015	Lymph_LCD4_MN803438.1_00068	MCV_ML1_SDDV_OM037668.1_00123
OG0000016	Lymph_LCD4_MN803438.1_00128	MCV_ML1_SDDV_OM037668.1_00041
OG0000017	Lymph_LCD4_MN803438.1_00007	MCV_ML1_SDDV_OM037668.1_00098
OG0000018	Lymph_LCD4_MN803438.1_00070	MCV_ML1_SDDV_OM037668.1_00078
OG0000019	Lymph_LCD4_MN803438.1_00049	MCV_ML1_SDDV_OM037668.1_00009
OG0000020	Lymph_LCD4_MN803438.1_00046	MCV_ML1_SDDV_OM037668.1_00004
OG0000021	Lymph_LCD4_MN803438.1_00035	MCV_ML1_SDDV_OM037668.1_00124
OG0000022	Lymph_LCD4_MN803438.1_00089	MCV_ML1_SDDV_OM037668.1_00013
OG0000023	Lymph_LCD4_MN803438.1_00077	MCV_ML1_SDDV_OM037668.1_00113
OG0000024	Lymph_LCD4_MN803438.1_00024	MCV_ML1_SDDV_OM037668.1_00064
OG0000026	Lymph_LCD4_MN803438.1_00126	MCV_ML1_SDDV_OM037668.1_00074
OG0000027	Lymph_LCD4_MN803438.1_00037	MCV_ML1_SDDV_OM037668.1_00087
OG0000028	Lymph_LCD4_MN803438.1_00054	MCV_ML1_SDDV_OM037668.1_00110
OG0000030	Lymph_LCD4_MN803438.1_00145	MCV_ML1_SDDV_OM037668.1_00011
OG0000130	Lymph_LCD4_MN803438.1_00082	MCV_ML1_SDDV_OM037668.1_00062
OG0000139	Lymph_LCD4_MN803438.1_00005	MCV_ML1_SDDV_OM037668.1_00068
OG0000141	Lymph_LCD4_MN803438.1_00022	MCV_ML1_SDDV_OM037668.1_00071, MCV_ML1_SDDV_OM037668.1_00015
OG0000150	Lymph_LCD4_MN803438.1_00010	MCV_ML1_SDDV_OM037668.1_00001
OG0000161	Lymph_LCD4_MN803438.1_00011, Lymph_LCD4_MN803438.1_00096	MCV_ML1_SDDV_OM037668.1_00036
OG0000208	Lymph_LCD4_MN803438.1_00130	MCV_ML1_SDDV_OM037668.1_00088
