Orthogroup	Lymph_LCD4_MN803438.1	MCV_ML1_SDDV_MT521409.1
OG0000000	Lymph_LCD4_MN803438.1_00124	MCV_ML1_SDDV_MT521409.1_00103
OG0000001	Lymph_LCD4_MN803438.1_00023	MCV_ML1_SDDV_MT521409.1_00081
OG0000002	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101	MCV_ML1_SDDV_MT521409.1_00082
OG0000003	Lymph_LCD4_MN803438.1_00113	MCV_ML1_SDDV_MT521409.1_00088
OG0000004	Lymph_LCD4_MN803438.1_00104	MCV_ML1_SDDV_MT521409.1_00061
OG0000005	Lymph_LCD4_MN803438.1_00027	MCV_ML1_SDDV_MT521409.1_00053
OG0000006	Lymph_LCD4_MN803438.1_00106	MCV_ML1_SDDV_MT521409.1_00100
OG0000007	Lymph_LCD4_MN803438.1_00142	MCV_ML1_SDDV_MT521409.1_00117
OG0000008	Lymph_LCD4_MN803438.1_00109	MCV_ML1_SDDV_MT521409.1_00060
OG0000009	Lymph_LCD4_MN803438.1_00071	MCV_ML1_SDDV_MT521409.1_00057
OG0000011	Lymph_LCD4_MN803438.1_00097	MCV_ML1_SDDV_MT521409.1_00047
OG0000012	Lymph_LCD4_MN803438.1_00013	MCV_ML1_SDDV_MT521409.1_00008
OG0000013	Lymph_LCD4_MN803438.1_00051	MCV_ML1_SDDV_MT521409.1_00064
OG0000014	Lymph_LCD4_MN803438.1_00122	MCV_ML1_SDDV_MT521409.1_00048
OG0000015	Lymph_LCD4_MN803438.1_00068	MCV_ML1_SDDV_MT521409.1_00012
OG0000016	Lymph_LCD4_MN803438.1_00128	MCV_ML1_SDDV_MT521409.1_00097
OG0000017	Lymph_LCD4_MN803438.1_00007	MCV_ML1_SDDV_MT521409.1_00039
OG0000018	Lymph_LCD4_MN803438.1_00070	MCV_ML1_SDDV_MT521409.1_00059
OG0000019	Lymph_LCD4_MN803438.1_00049	MCV_ML1_SDDV_MT521409.1_00129
OG0000020	Lymph_LCD4_MN803438.1_00046	MCV_ML1_SDDV_MT521409.1_00134
OG0000021	Lymph_LCD4_MN803438.1_00035	MCV_ML1_SDDV_MT521409.1_00011
OG0000022	Lymph_LCD4_MN803438.1_00089	MCV_ML1_SDDV_MT521409.1_00125
OG0000023	Lymph_LCD4_MN803438.1_00077	MCV_ML1_SDDV_MT521409.1_00024
OG0000024	Lymph_LCD4_MN803438.1_00024	MCV_ML1_SDDV_MT521409.1_00074
OG0000026	Lymph_LCD4_MN803438.1_00126	MCV_ML1_SDDV_MT521409.1_00063
OG0000027	Lymph_LCD4_MN803438.1_00037	MCV_ML1_SDDV_MT521409.1_00050
OG0000028	Lymph_LCD4_MN803438.1_00054	MCV_ML1_SDDV_MT521409.1_00027
OG0000030	Lymph_LCD4_MN803438.1_00145	MCV_ML1_SDDV_MT521409.1_00127
OG0000130	Lymph_LCD4_MN803438.1_00082	MCV_ML1_SDDV_MT521409.1_00076
OG0000139	Lymph_LCD4_MN803438.1_00005	MCV_ML1_SDDV_MT521409.1_00070
OG0000141	Lymph_LCD4_MN803438.1_00022	MCV_ML1_SDDV_MT521409.1_00067, MCV_ML1_SDDV_MT521409.1_00123
OG0000150	Lymph_LCD4_MN803438.1_00010	MCV_ML1_SDDV_MT521409.1_00137
OG0000161	Lymph_LCD4_MN803438.1_00011, Lymph_LCD4_MN803438.1_00096	MCV_ML1_SDDV_MT521409.1_00102
OG0000208	Lymph_LCD4_MN803438.1_00130	MCV_ML1_SDDV_MT521409.1_00049
