Orthogroup	Lymph_LCD4_MN803438.1	Chlor_AMIV_KF938901.1
OG0000000	Lymph_LCD4_MN803438.1_00124	Chlor_AMIV_KF938901.1_00126
OG0000001	Lymph_LCD4_MN803438.1_00023	Chlor_AMIV_KF938901.1_00044
OG0000002	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101	Chlor_AMIV_KF938901.1_00080
OG0000003	Lymph_LCD4_MN803438.1_00113	Chlor_AMIV_KF938901.1_00005
OG0000004	Lymph_LCD4_MN803438.1_00104	Chlor_AMIV_KF938901.1_00043
OG0000005	Lymph_LCD4_MN803438.1_00027	Chlor_AMIV_KF938901.1_00053
OG0000006	Lymph_LCD4_MN803438.1_00106	Chlor_AMIV_KF938901.1_00067
OG0000007	Lymph_LCD4_MN803438.1_00142	Chlor_AMIV_KF938901.1_00072
OG0000008	Lymph_LCD4_MN803438.1_00109	Chlor_AMIV_KF938901.1_00114
OG0000009	Lymph_LCD4_MN803438.1_00071	Chlor_AMIV_KF938901.1_00125
OG0000011	Lymph_LCD4_MN803438.1_00097	Chlor_AMIV_KF938901.1_00012
OG0000012	Lymph_LCD4_MN803438.1_00013	Chlor_AMIV_KF938901.1_00023
OG0000013	Lymph_LCD4_MN803438.1_00051	Chlor_AMIV_KF938901.1_00025
OG0000014	Lymph_LCD4_MN803438.1_00122	Chlor_AMIV_KF938901.1_00046
OG0000015	Lymph_LCD4_MN803438.1_00068	Chlor_AMIV_KF938901.1_00047
OG0000016	Lymph_LCD4_MN803438.1_00128	Chlor_AMIV_KF938901.1_00054
OG0000017	Lymph_LCD4_MN803438.1_00007	Chlor_AMIV_KF938901.1_00060
OG0000018	Lymph_LCD4_MN803438.1_00070	Chlor_AMIV_KF938901.1_00074
OG0000019	Lymph_LCD4_MN803438.1_00049	Chlor_AMIV_KF938901.1_00092
OG0000020	Lymph_LCD4_MN803438.1_00046	Chlor_AMIV_KF938901.1_00095
OG0000021	Lymph_LCD4_MN803438.1_00035	Chlor_AMIV_KF938901.1_00123
OG0000022	Lymph_LCD4_MN803438.1_00089	Chlor_AMIV_KF938901.1_00124
OG0000023	Lymph_LCD4_MN803438.1_00077	Chlor_AMIV_KF938901.1_00031
OG0000024	Lymph_LCD4_MN803438.1_00024	Chlor_AMIV_KF938901.1_00094
OG0000113	Lymph_LCD4_MN803438.1_00021, Lymph_LCD4_MN803438.1_00012, Lymph_LCD4_MN803438.1_00120, Lymph_LCD4_MN803438.1_00107, Lymph_LCD4_MN803438.1_00094, Lymph_LCD4_MN803438.1_00125	Chlor_AMIV_KF938901.1_00104
OG0000133	Lymph_LCD4_MN803438.1_00006	Chlor_AMIV_KF938901.1_00007
OG0000134	Lymph_LCD4_MN803438.1_00115	Chlor_AMIV_KF938901.1_00086
OG0000137	Lymph_LCD4_MN803438.1_00105	Chlor_AMIV_KF938901.1_00048
OG0000138	Lymph_LCD4_MN803438.1_00137	Chlor_AMIV_KF938901.1_00065
OG0000139	Lymph_LCD4_MN803438.1_00005	Chlor_AMIV_KF938901.1_00108
OG0000152	Lymph_LCD4_MN803438.1_00003	Chlor_AMIV_KF938901.1_00027
OG0000154	Lymph_LCD4_MN803438.1_00135	Chlor_AMIV_KF938901.1_00106
OG0000165	Lymph_LCD4_MN803438.1_00092	Chlor_AMIV_KF938901.1_00009
OG0000166	Lymph_LCD4_MN803438.1_00028	Chlor_AMIV_KF938901.1_00017
OG0000198	Lymph_LCD4_MN803438.1_00045	Chlor_AMIV_KF938901.1_00137
