Orthogroup	MN432490.1	LS484712.1
OG0000000	MN432490.1_00032	LS484712.1_00114
OG0000001	MN432490.1_00007	LS484712.1_00142
OG0000003	MN432490.1_00008	LS484712.1_00095
OG0000004	MN432490.1_00015	LS484712.1_00187
OG0000005	MN432490.1_00031	LS484712.1_00248
OG0000006	MN432490.1_00078	LS484712.1_00040
OG0000007	MN432490.1_00092	LS484712.1_00234, LS484712.1_00050
OG0000009	MN432490.1_00114	LS484712.1_00130
OG0000010	MN432490.1_00005	LS484712.1_00096
OG0000011	MN432490.1_00023	LS484712.1_00200
OG0000012	MN432490.1_00033	LS484712.1_00188
OG0000013	MN432490.1_00035	LS484712.1_00240
OG0000014	MN432490.1_00037	LS484712.1_00194
OG0000015	MN432490.1_00058	LS484712.1_00143
OG0000016	MN432490.1_00064	LS484712.1_00203
OG0000017	MN432490.1_00088	LS484712.1_00192
OG0000018	MN432490.1_00089	LS484712.1_00048
OG0000019	MN432490.1_00108	LS484712.1_00053
OG0000020	MN432490.1_00122	LS484712.1_00202
OG0000021	MN432490.1_00123	LS484712.1_00135
OG0000022	MN432490.1_00046	LS484712.1_00117
OG0000068	MN432490.1_00067	LS484712.1_00002
