Orthogroup	MN432490.1	L63545.1
OG0000000	MN432490.1_00032	L63545.1_00007
OG0000001	MN432490.1_00007	L63545.1_00079
OG0000003	MN432490.1_00008	L63545.1_00035
OG0000004	MN432490.1_00015	L63545.1_00076
OG0000005	MN432490.1_00031	L63545.1_00108
OG0000006	MN432490.1_00078	L63545.1_00093
OG0000007	MN432490.1_00092	L63545.1_00090
OG0000008	MN432490.1_00113	L63545.1_00001
OG0000009	MN432490.1_00114	L63545.1_00024
OG0000010	MN432490.1_00005	L63545.1_00043
OG0000011	MN432490.1_00023	L63545.1_00071
OG0000012	MN432490.1_00033	L63545.1_00098
OG0000013	MN432490.1_00035	L63545.1_00072
OG0000014	MN432490.1_00037	L63545.1_00013
OG0000015	MN432490.1_00058	L63545.1_00004
OG0000016	MN432490.1_00064	L63545.1_00069
OG0000017	MN432490.1_00088	L63545.1_00009
OG0000018	MN432490.1_00089	L63545.1_00073
OG0000019	MN432490.1_00108	L63545.1_00068
OG0000020	MN432490.1_00122	L63545.1_00030
OG0000021	MN432490.1_00123	L63545.1_00110
OG0000022	MN432490.1_00046	L63545.1_00054
OG0000023	MN432490.1_00097	L63545.1_00056
OG0000024	MN432490.1_00111	L63545.1_00002
OG0000026	MN432490.1_00090	L63545.1_00058
OG0000027	MN432490.1_00049	L63545.1_00003
