Orthogroup	MN432490.1	AY521625.1
OG0000000	MN432490.1_00032	AY521625.1_00091
OG0000001	MN432490.1_00007	AY521625.1_00064
OG0000003	MN432490.1_00008	AY521625.1_00077
OG0000004	MN432490.1_00015	AY521625.1_00130
OG0000005	MN432490.1_00031	AY521625.1_00085
OG0000006	MN432490.1_00078	AY521625.1_00051
OG0000007	MN432490.1_00092	AY521625.1_00016
OG0000008	MN432490.1_00113	AY521625.1_00069, AY521625.1_00070
OG0000009	MN432490.1_00114	AY521625.1_00142
OG0000010	MN432490.1_00005	AY521625.1_00054
OG0000011	MN432490.1_00023	AY521625.1_00110
OG0000012	MN432490.1_00033	AY521625.1_00074
OG0000013	MN432490.1_00035	AY521625.1_00059
OG0000014	MN432490.1_00037	AY521625.1_00065
OG0000015	MN432490.1_00058	AY521625.1_00048
OG0000016	MN432490.1_00064	AY521625.1_00053
OG0000017	MN432490.1_00088	AY521625.1_00086
OG0000018	MN432490.1_00089	AY521625.1_00073
OG0000019	MN432490.1_00108	AY521625.1_00047
OG0000020	MN432490.1_00122	AY521625.1_00115
OG0000021	MN432490.1_00123	AY521625.1_00035
OG0000022	MN432490.1_00046	AY521625.1_00062
OG0000023	MN432490.1_00097	AY521625.1_00100
OG0000024	MN432490.1_00111	AY521625.1_00060
OG0000026	MN432490.1_00090	AY521625.1_00022
OG0000030	MN432490.1_00001	AY521625.1_00004
