Orthogroup	OP009387.1	MN562489.1
OG0000000	OP009387.1_00030	MN562489.1_00102
OG0000001	OP009387.1_00007	MN562489.1_00080
OG0000002	OP009387.1_00078	MN562489.1_00002, MN562489.1_00010, MN562489.1_00131
OG0000003	OP009387.1_00008	MN562489.1_00081
OG0000004	OP009387.1_00015	MN562489.1_00087
OG0000005	OP009387.1_00029	MN562489.1_00099
OG0000006	OP009387.1_00077	MN562489.1_00116
OG0000007	OP009387.1_00091	MN562489.1_00052
OG0000008	OP009387.1_00112	MN562489.1_00060
OG0000009	OP009387.1_00113	MN562489.1_00059
OG0000010	OP009387.1_00005	MN562489.1_00124
OG0000011	OP009387.1_00023	MN562489.1_00096
OG0000012	OP009387.1_00031	MN562489.1_00012
OG0000013	OP009387.1_00033	MN562489.1_00011
OG0000014	OP009387.1_00035	MN562489.1_00008
OG0000015	OP009387.1_00057	MN562489.1_00038
OG0000016	OP009387.1_00064	MN562489.1_00128
OG0000017	OP009387.1_00087	MN562489.1_00046
OG0000018	OP009387.1_00088	MN562489.1_00047
OG0000019	OP009387.1_00107	MN562489.1_00063
OG0000020	OP009387.1_00121	MN562489.1_00058
OG0000021	OP009387.1_00122	MN562489.1_00133
OG0000022	OP009387.1_00044	MN562489.1_00023
OG0000023	OP009387.1_00095	MN562489.1_00056
OG0000024	OP009387.1_00110	MN562489.1_00062
OG0000025	OP009387.1_00065	MN562489.1_00113
OG0000026	OP009387.1_00089	MN562489.1_00049
OG0000027	OP009387.1_00047	MN562489.1_00026
OG0000028	OP009387.1_00006	MN562489.1_00126
OG0000029	OP009387.1_00062	MN562489.1_00041
OG0000030	OP009387.1_00001	MN562489.1_00107
OG0000031	OP009387.1_00082	MN562489.1_00118
OG0000032	OP009387.1_00090	MN562489.1_00050
OG0000033	OP009387.1_00123	MN562489.1_00109
OG0000034	OP009387.1_00013	MN562489.1_00086
OG0000035	OP009387.1_00014	MN562489.1_00132
OG0000036	OP009387.1_00019	MN562489.1_00091
OG0000037	OP009387.1_00020	MN562489.1_00092
OG0000038	OP009387.1_00024	MN562489.1_00097
OG0000039	OP009387.1_00025	MN562489.1_00089
OG0000040	OP009387.1_00032	MN562489.1_00134
OG0000041	OP009387.1_00036	MN562489.1_00013
OG0000042	OP009387.1_00049	MN562489.1_00030
OG0000043	OP009387.1_00050	MN562489.1_00031
OG0000044	OP009387.1_00055	MN562489.1_00036
OG0000045	OP009387.1_00056	MN562489.1_00037
OG0000046	OP009387.1_00058	MN562489.1_00039
OG0000047	OP009387.1_00060	MN562489.1_00051
OG0000048	OP009387.1_00061	MN562489.1_00040
OG0000049	OP009387.1_00079	MN562489.1_00117
OG0000050	OP009387.1_00083	MN562489.1_00119
OG0000051	OP009387.1_00084	MN562489.1_00005
OG0000052	OP009387.1_00094	MN562489.1_00055
OG0000053	OP009387.1_00096	MN562489.1_00105
OG0000054	OP009387.1_00099	MN562489.1_00104
OG0000055	OP009387.1_00111	MN562489.1_00061
OG0000056	OP009387.1_00115	MN562489.1_00057
OG0000057	OP009387.1_00117	MN562489.1_00001
OG0000058	OP009387.1_00002	MN562489.1_00106
OG0000059	OP009387.1_00010	MN562489.1_00083
OG0000060	OP009387.1_00018	MN562489.1_00090
OG0000061	OP009387.1_00092	MN562489.1_00053
OG0000062	OP009387.1_00026	MN562489.1_00073
OG0000096	OP009387.1_00119	MN562489.1_00045
OG0000113	OP009387.1_00022	MN562489.1_00095
OG0000114	OP009387.1_00011	MN562489.1_00084
OG0000115	OP009387.1_00054	MN562489.1_00035
OG0000117	OP009387.1_00093	MN562489.1_00054
OG0000129	OP009387.1_00073	MN562489.1_00075
