Orthogroup	OP009387.1	KT804738.1
OG0000000	OP009387.1_00030	KT804738.1_00029
OG0000001	OP009387.1_00007	KT804738.1_00007
OG0000002	OP009387.1_00078	KT804738.1_00073
OG0000003	OP009387.1_00008	KT804738.1_00008
OG0000004	OP009387.1_00015	KT804738.1_00015
OG0000005	OP009387.1_00029	KT804738.1_00028
OG0000006	OP009387.1_00077	KT804738.1_00072
OG0000007	OP009387.1_00091	KT804738.1_00086
OG0000008	OP009387.1_00112	KT804738.1_00109
OG0000009	OP009387.1_00113	KT804738.1_00111
OG0000010	OP009387.1_00005	KT804738.1_00005
OG0000011	OP009387.1_00023	KT804738.1_00021
OG0000012	OP009387.1_00031	KT804738.1_00030
OG0000013	OP009387.1_00033	KT804738.1_00032
OG0000014	OP009387.1_00035	KT804738.1_00034
OG0000015	OP009387.1_00057	KT804738.1_00055
OG0000016	OP009387.1_00064	KT804738.1_00060
OG0000017	OP009387.1_00087	KT804738.1_00082
OG0000018	OP009387.1_00088	KT804738.1_00083
OG0000019	OP009387.1_00107	KT804738.1_00104
OG0000020	OP009387.1_00121	KT804738.1_00119
OG0000021	OP009387.1_00122	KT804738.1_00120
OG0000022	OP009387.1_00044	KT804738.1_00043
OG0000023	OP009387.1_00095	KT804738.1_00092
OG0000024	OP009387.1_00110	KT804738.1_00107
OG0000025	OP009387.1_00065	KT804738.1_00061
OG0000026	OP009387.1_00089	KT804738.1_00084
OG0000027	OP009387.1_00047	KT804738.1_00046
OG0000028	OP009387.1_00006	KT804738.1_00006
OG0000029	OP009387.1_00062	KT804738.1_00058
OG0000030	OP009387.1_00001	KT804738.1_00001
OG0000031	OP009387.1_00082	KT804738.1_00077
OG0000032	OP009387.1_00090	KT804738.1_00085
OG0000033	OP009387.1_00123	KT804738.1_00121
OG0000034	OP009387.1_00013	KT804738.1_00013
OG0000035	OP009387.1_00014	KT804738.1_00014
OG0000036	OP009387.1_00019	KT804738.1_00019
OG0000037	OP009387.1_00020	KT804738.1_00020
OG0000038	OP009387.1_00024	KT804738.1_00022
OG0000039	OP009387.1_00025	KT804738.1_00023
OG0000040	OP009387.1_00032	KT804738.1_00031
OG0000041	OP009387.1_00036	KT804738.1_00035
OG0000042	OP009387.1_00049	KT804738.1_00047
OG0000043	OP009387.1_00050	KT804738.1_00048
OG0000044	OP009387.1_00055	KT804738.1_00053
OG0000045	OP009387.1_00056	KT804738.1_00054
OG0000047	OP009387.1_00060	KT804738.1_00056
OG0000048	OP009387.1_00061	KT804738.1_00057
OG0000049	OP009387.1_00079	KT804738.1_00074
OG0000050	OP009387.1_00083	KT804738.1_00078
OG0000051	OP009387.1_00084	KT804738.1_00079
OG0000052	OP009387.1_00094	KT804738.1_00091
OG0000053	OP009387.1_00096	KT804738.1_00093
OG0000054	OP009387.1_00099	KT804738.1_00096
OG0000055	OP009387.1_00111	KT804738.1_00108
OG0000056	OP009387.1_00115	KT804738.1_00113
OG0000057	OP009387.1_00117	KT804738.1_00115
OG0000058	OP009387.1_00002	KT804738.1_00002
OG0000059	OP009387.1_00010	KT804738.1_00010
OG0000060	OP009387.1_00018	KT804738.1_00018
OG0000061	OP009387.1_00092	KT804738.1_00087
OG0000062	OP009387.1_00026	KT804738.1_00025
OG0000063	OP009387.1_00072	KT804738.1_00069
OG0000064	OP009387.1_00017	KT804738.1_00017
OG0000065	OP009387.1_00038	KT804738.1_00037
OG0000066	OP009387.1_00042	KT804738.1_00041
OG0000067	OP009387.1_00046	KT804738.1_00045
OG0000068	OP009387.1_00067	KT804738.1_00064
OG0000069	OP009387.1_00098	KT804738.1_00095
OG0000070	OP009387.1_00100	KT804738.1_00097
OG0000071	OP009387.1_00114	KT804738.1_00112
OG0000072	OP009387.1_00009	KT804738.1_00009
OG0000073	OP009387.1_00012	KT804738.1_00011
OG0000074	OP009387.1_00016	KT804738.1_00016
OG0000075	OP009387.1_00034	KT804738.1_00033
OG0000076	OP009387.1_00037	KT804738.1_00036
