Orthogroup	KC244182.1	AY521625.1
OG0000000	KC244182.1_00029	AY521625.1_00091
OG0000001	KC244182.1_00007	AY521625.1_00064
OG0000003	KC244182.1_00008	AY521625.1_00077
OG0000004	KC244182.1_00014	AY521625.1_00130
OG0000005	KC244182.1_00028	AY521625.1_00085
OG0000006	KC244182.1_00076	AY521625.1_00051
OG0000007	KC244182.1_00090	AY521625.1_00016
OG0000008	KC244182.1_00112	AY521625.1_00069, AY521625.1_00070
OG0000009	KC244182.1_00114	AY521625.1_00142
OG0000010	KC244182.1_00005	AY521625.1_00054
OG0000011	KC244182.1_00022	AY521625.1_00110
OG0000012	KC244182.1_00030	AY521625.1_00074
OG0000013	KC244182.1_00032	AY521625.1_00059
OG0000014	KC244182.1_00034	AY521625.1_00065
OG0000015	KC244182.1_00056	AY521625.1_00048
OG0000016	KC244182.1_00063	AY521625.1_00053
OG0000017	KC244182.1_00086	AY521625.1_00086
OG0000018	KC244182.1_00087	AY521625.1_00073
OG0000019	KC244182.1_00107	AY521625.1_00047
OG0000020	KC244182.1_00121	AY521625.1_00115
OG0000021	KC244182.1_00122	AY521625.1_00035
OG0000022	KC244182.1_00043	AY521625.1_00062
OG0000023	KC244182.1_00095	AY521625.1_00100
OG0000024	KC244182.1_00110	AY521625.1_00060
OG0000026	KC244182.1_00088	AY521625.1_00022
OG0000030	KC244182.1_00001	AY521625.1_00004
