Orthogroup	KC244182.1	AY894343.1
OG0000000	KC244182.1_00029	AY894343.1_00029
OG0000001	KC244182.1_00007	AY894343.1_00007
OG0000002	KC244182.1_00077	AY894343.1_00077
OG0000003	KC244182.1_00008	AY894343.1_00008
OG0000004	KC244182.1_00014	AY894343.1_00015
OG0000005	KC244182.1_00028	AY894343.1_00028
OG0000006	KC244182.1_00076	AY894343.1_00076
OG0000007	KC244182.1_00090	AY894343.1_00090
OG0000008	KC244182.1_00112	AY894343.1_00113
OG0000009	KC244182.1_00114	AY894343.1_00115
OG0000010	KC244182.1_00005	AY894343.1_00005
OG0000011	KC244182.1_00022	AY894343.1_00021
OG0000012	KC244182.1_00030	AY894343.1_00030
OG0000013	KC244182.1_00032	AY894343.1_00032
OG0000014	KC244182.1_00034	AY894343.1_00034
OG0000015	KC244182.1_00056	AY894343.1_00056
OG0000016	KC244182.1_00063	AY894343.1_00063
OG0000017	KC244182.1_00086	AY894343.1_00086
OG0000018	KC244182.1_00087	AY894343.1_00087
OG0000019	KC244182.1_00107	AY894343.1_00108
OG0000020	KC244182.1_00121	AY894343.1_00123
OG0000021	KC244182.1_00122	AY894343.1_00124
OG0000022	KC244182.1_00043	AY894343.1_00043
OG0000023	KC244182.1_00095	AY894343.1_00096
OG0000024	KC244182.1_00110	AY894343.1_00111
OG0000025	KC244182.1_00064	AY894343.1_00064
OG0000026	KC244182.1_00088	AY894343.1_00088
OG0000027	KC244182.1_00046	AY894343.1_00046
OG0000028	KC244182.1_00006	AY894343.1_00006
OG0000029	KC244182.1_00061	AY894343.1_00061
OG0000030	KC244182.1_00001	AY894343.1_00001
OG0000031	KC244182.1_00081	AY894343.1_00081
OG0000032	KC244182.1_00089	AY894343.1_00089
OG0000033	KC244182.1_00123	AY894343.1_00125
OG0000034	KC244182.1_00012	AY894343.1_00013
OG0000035	KC244182.1_00013	AY894343.1_00014
OG0000036	KC244182.1_00018	AY894343.1_00019
OG0000037	KC244182.1_00019	AY894343.1_00020
OG0000038	KC244182.1_00023	AY894343.1_00022
OG0000039	KC244182.1_00024	AY894343.1_00023
OG0000040	KC244182.1_00031	AY894343.1_00031
OG0000041	KC244182.1_00035	AY894343.1_00035
OG0000042	KC244182.1_00048	AY894343.1_00048
OG0000043	KC244182.1_00049	AY894343.1_00049
OG0000044	KC244182.1_00054	AY894343.1_00054
OG0000045	KC244182.1_00055	AY894343.1_00055
OG0000046	KC244182.1_00057	AY894343.1_00057
OG0000047	KC244182.1_00058	AY894343.1_00058
OG0000048	KC244182.1_00060	AY894343.1_00059
OG0000049	KC244182.1_00078	AY894343.1_00078
OG0000050	KC244182.1_00082	AY894343.1_00082
OG0000051	KC244182.1_00083	AY894343.1_00083
OG0000052	KC244182.1_00094	AY894343.1_00095
OG0000053	KC244182.1_00096	AY894343.1_00097
OG0000054	KC244182.1_00099	AY894343.1_00100
OG0000055	KC244182.1_00111	AY894343.1_00112
OG0000056	KC244182.1_00116	AY894343.1_00117
OG0000057	KC244182.1_00118	AY894343.1_00119
OG0000058	KC244182.1_00002	AY894343.1_00002
OG0000059	KC244182.1_00010	AY894343.1_00010
OG0000060	KC244182.1_00017	AY894343.1_00018
OG0000061	KC244182.1_00091	AY894343.1_00091
OG0000062	KC244182.1_00025	AY894343.1_00025
OG0000063	KC244182.1_00072	AY894343.1_00072
OG0000064	KC244182.1_00016	AY894343.1_00017
OG0000065	KC244182.1_00037	AY894343.1_00037
OG0000066	KC244182.1_00041	AY894343.1_00041
OG0000067	KC244182.1_00045	AY894343.1_00045
OG0000068	KC244182.1_00066	AY894343.1_00067
OG0000069	KC244182.1_00098	AY894343.1_00099
OG0000070	KC244182.1_00100	AY894343.1_00101
OG0000071	KC244182.1_00115	AY894343.1_00116
OG0000072	KC244182.1_00009	AY894343.1_00009
OG0000073	KC244182.1_00011	AY894343.1_00011
OG0000074	KC244182.1_00015	AY894343.1_00016
OG0000075	KC244182.1_00033	AY894343.1_00033
OG0000076	KC244182.1_00036	AY894343.1_00036
OG0000077	KC244182.1_00039	AY894343.1_00039
OG0000078	KC244182.1_00040	AY894343.1_00040
OG0000079	KC244182.1_00044	AY894343.1_00044
OG0000080	KC244182.1_00050	AY894343.1_00050
OG0000081	KC244182.1_00051	AY894343.1_00051
OG0000082	KC244182.1_00052	AY894343.1_00052
OG0000083	KC244182.1_00062	AY894343.1_00062
OG0000084	KC244182.1_00065	AY894343.1_00065
OG0000085	KC244182.1_00067	AY894343.1_00068
OG0000086	KC244182.1_00068	AY894343.1_00069
OG0000087	KC244182.1_00073	AY894343.1_00073
OG0000088	KC244182.1_00074	AY894343.1_00074
OG0000089	KC244182.1_00084	AY894343.1_00084
OG0000090	KC244182.1_00085	AY894343.1_00085
OG0000091	KC244182.1_00097	AY894343.1_00098
OG0000092	KC244182.1_00101	AY894343.1_00102
OG0000093	KC244182.1_00105	AY894343.1_00106
OG0000094	KC244182.1_00108	AY894343.1_00109
OG0000095	KC244182.1_00109	AY894343.1_00110
OG0000097	KC244182.1_00003	AY894343.1_00003
OG0000098	KC244182.1_00004	AY894343.1_00004
OG0000099	KC244182.1_00038	AY894343.1_00038
OG0000100	KC244182.1_00042	AY894343.1_00042
OG0000101	KC244182.1_00070	AY894343.1_00070
OG0000102	KC244182.1_00079	AY894343.1_00079
OG0000103	KC244182.1_00102	AY894343.1_00103
OG0000104	KC244182.1_00106	AY894343.1_00107
OG0000105	KC244182.1_00117	AY894343.1_00118
OG0000106	KC244182.1_00027	AY894343.1_00027
OG0000107	KC244182.1_00103	AY894343.1_00104
OG0000108	KC244182.1_00120	AY894343.1_00122
OG0000109	KC244182.1_00071	AY894343.1_00071
OG0000110	KC244182.1_00119	AY894343.1_00120
OG0000111	KC244182.1_00093	AY894343.1_00094
OG0000112	KC244182.1_00080	AY894343.1_00080
OG0000115	KC244182.1_00053	AY894343.1_00053
OG0000118	KC244182.1_00104	AY894343.1_00105
OG0000119	KC244182.1_00113	AY894343.1_00114
OG0000130	KC244182.1_00047	AY894343.1_00047
OG0000135	KC244182.1_00075	AY894343.1_00075
OG0000163	KC244182.1_00026	AY894343.1_00026
