Orthogroup	KC244182.1	MN803438.1
OG0000000	KC244182.1_00029	MN803438.1_00124
OG0000001	KC244182.1_00007	MN803438.1_00023
OG0000003	KC244182.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000004	KC244182.1_00014	MN803438.1_00113
OG0000005	KC244182.1_00028	MN803438.1_00106
OG0000006	KC244182.1_00076	MN803438.1_00142
OG0000007	KC244182.1_00090	MN803438.1_00027
OG0000008	KC244182.1_00112	MN803438.1_00104
OG0000009	KC244182.1_00114	MN803438.1_00109
OG0000010	KC244182.1_00005	MN803438.1_00089
OG0000011	KC244182.1_00022	MN803438.1_00128
OG0000012	KC244182.1_00030	MN803438.1_00068
OG0000013	KC244182.1_00032	MN803438.1_00035
OG0000014	KC244182.1_00034	MN803438.1_00013
OG0000015	KC244182.1_00056	MN803438.1_00007
OG0000016	KC244182.1_00063	MN803438.1_00049
OG0000017	KC244182.1_00086	MN803438.1_00097
OG0000018	KC244182.1_00087	MN803438.1_00122
OG0000019	KC244182.1_00107	MN803438.1_00051
OG0000020	KC244182.1_00121	MN803438.1_00070
OG0000021	KC244182.1_00122	MN803438.1_00046
OG0000022	KC244182.1_00043	MN803438.1_00077
OG0000023	KC244182.1_00095	MN803438.1_00071
OG0000024	KC244182.1_00110	MN803438.1_00126
OG0000026	KC244182.1_00088	MN803438.1_00037
OG0000027	KC244182.1_00046	MN803438.1_00054
OG0000028	KC244182.1_00006	MN803438.1_00145
