Orthogroup	KC244182.1	HF920633.1
OG0000000	KC244182.1_00029	HF920633.1_00044
OG0000001	KC244182.1_00007	HF920633.1_00073
OG0000003	KC244182.1_00008	HF920633.1_00069
OG0000004	KC244182.1_00014	HF920633.1_00127
OG0000005	KC244182.1_00028	HF920633.1_00043
OG0000006	KC244182.1_00076	HF920633.1_00025
OG0000007	KC244182.1_00090	HF920633.1_00091
OG0000008	KC244182.1_00112	HF920633.1_00079
OG0000009	KC244182.1_00114	HF920633.1_00122
OG0000010	KC244182.1_00005	HF920633.1_00097
OG0000011	KC244182.1_00022	HF920633.1_00001
OG0000012	KC244182.1_00030	HF920633.1_00080
OG0000013	KC244182.1_00032	HF920633.1_00158
OG0000014	KC244182.1_00034	HF920633.1_00175
OG0000015	KC244182.1_00056	HF920633.1_00067
OG0000016	KC244182.1_00063	HF920633.1_00118
OG0000017	KC244182.1_00086	HF920633.1_00163
OG0000018	KC244182.1_00087	HF920633.1_00094
OG0000019	KC244182.1_00107	HF920633.1_00003
OG0000020	KC244182.1_00121	HF920633.1_00138
OG0000021	KC244182.1_00122	HF920633.1_00058
OG0000022	KC244182.1_00043	HF920633.1_00017
OG0000025	KC244182.1_00064	HF920633.1_00047
OG0000028	KC244182.1_00006	HF920633.1_00030
