Orthogroup	MCV_MP1_BCFI_MT926123.1	Lymph_LCD4_MN803438.1
OG0000000	MCV_MP1_BCFI_MT926123.1_00032	Lymph_LCD4_MN803438.1_00124
OG0000001	MCV_MP1_BCFI_MT926123.1_00007	Lymph_LCD4_MN803438.1_00023
OG0000002	MCV_MP1_BCFI_MT926123.1_00008	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101
OG0000003	MCV_MP1_BCFI_MT926123.1_00015	Lymph_LCD4_MN803438.1_00113
OG0000004	MCV_MP1_BCFI_MT926123.1_00112	Lymph_LCD4_MN803438.1_00104
OG0000005	MCV_MP1_BCFI_MT926123.1_00093	Lymph_LCD4_MN803438.1_00027
OG0000006	MCV_MP1_BCFI_MT926123.1_00031	Lymph_LCD4_MN803438.1_00106
OG0000007	MCV_MP1_BCFI_MT926123.1_00079	Lymph_LCD4_MN803438.1_00142
OG0000008	MCV_MP1_BCFI_MT926123.1_00113	Lymph_LCD4_MN803438.1_00109
OG0000009	MCV_MP1_BCFI_MT926123.1_00096	Lymph_LCD4_MN803438.1_00071
OG0000011	MCV_MP1_BCFI_MT926123.1_00089	Lymph_LCD4_MN803438.1_00097
OG0000012	MCV_MP1_BCFI_MT926123.1_00037	Lymph_LCD4_MN803438.1_00013
OG0000013	MCV_MP1_BCFI_MT926123.1_00107	Lymph_LCD4_MN803438.1_00051
OG0000014	MCV_MP1_BCFI_MT926123.1_00090	Lymph_LCD4_MN803438.1_00122
OG0000015	MCV_MP1_BCFI_MT926123.1_00033	Lymph_LCD4_MN803438.1_00068
OG0000016	MCV_MP1_BCFI_MT926123.1_00022	Lymph_LCD4_MN803438.1_00128
OG0000017	MCV_MP1_BCFI_MT926123.1_00058	Lymph_LCD4_MN803438.1_00007
OG0000018	MCV_MP1_BCFI_MT926123.1_00120	Lymph_LCD4_MN803438.1_00070
OG0000019	MCV_MP1_BCFI_MT926123.1_00065	Lymph_LCD4_MN803438.1_00049
OG0000020	MCV_MP1_BCFI_MT926123.1_00121	Lymph_LCD4_MN803438.1_00046
OG0000021	MCV_MP1_BCFI_MT926123.1_00035	Lymph_LCD4_MN803438.1_00035
OG0000022	MCV_MP1_BCFI_MT926123.1_00005	Lymph_LCD4_MN803438.1_00089
OG0000023	MCV_MP1_BCFI_MT926123.1_00046	Lymph_LCD4_MN803438.1_00077
OG0000024	MCV_MP1_BCFI_MT926123.1_00028	Lymph_LCD4_MN803438.1_00024
OG0000026	MCV_MP1_BCFI_MT926123.1_00110	Lymph_LCD4_MN803438.1_00126
OG0000027	MCV_MP1_BCFI_MT926123.1_00091	Lymph_LCD4_MN803438.1_00037
OG0000028	MCV_MP1_BCFI_MT926123.1_00049	Lymph_LCD4_MN803438.1_00054
OG0000030	MCV_MP1_BCFI_MT926123.1_00006	Lymph_LCD4_MN803438.1_00145
OG0000130	MCV_MP1_BCFI_MT926123.1_00075	Lymph_LCD4_MN803438.1_00082
