Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	OL310752.1	n16	1.0	Terminal	OL310752_1_OL310752.1_00108	OL310752_1_OL310752.1_00113
OG0000000	N42	n44	1.0	Non-Terminal	AF303741_1_AF303741.1_00079, HF920637_1_HF920637.1_00129	AF303741_1_AF303741.1_00152, HF920637_1_HF920637.1_00164
OG0000000	MF599468.1	n47	1.0	Terminal	MF599468_1_MF599468.1_00057	MF599468_1_MF599468.1_00056
OG0000001	AF303741.1	n43	1.0	Terminal	AF303741_1_AF303741.1_00200	AF303741_1_AF303741.1_00047
OG0000001	MN803438.1	n45	1.0	Terminal	MN803438_1_MN803438.1_00101	MN803438_1_MN803438.1_00056
OG0000002	N20	n14	0.08695652173913043	Non-Terminal	MG570131_1_MG570131.1_00008, MG570132_1_MG570132.1_00008	AF371960_1_AF371960.1_00007, MT926123_1_MT926123.1_00007, MK689685_1_MK689685.1_00007, MG570131_1_MG570131.1_00007, MG570132_1_MG570132.1_00007
OG0000003	AY779031.1	n43	1.0	Terminal	AY779031_1_AY779031.1_00015	AY779031_1_AY779031.1_00016
OG0000004	N0	n10	0.022222222222222223	Non-Terminal	AY532606_1_AY532606.1_00116	AY532606_1_AY532606.1_00117, AY894343_1_AY894343.1_00113
OG0000004	AY521625.1	n40	1.0	Terminal	AY521625_1_AY521625.1_00069	AY521625_1_AY521625.1_00070
OG0000005	N0	n21	0.022222222222222223	Non-Terminal	AF371960_1_AF371960.1_00096, MT926123_1_MT926123.1_00096, MN432490_1_MN432490.1_00097, MT986830_1_MT986830.1_00100, OP009387_1_OP009387.1_00095, MK689685_1_MK689685.1_00094, AY779031_1_AY779031.1_00103, AY532606_1_AY532606.1_00099, GQ273492_1_GQ273492.1_00092, MG570131_1_MG570131.1_00092, MG570132_1_MG570132.1_00092	AY532606_1_AY532606.1_00098
