Orthogroup	L63545.1	OQ475017.1
OG0000000	L63545.1_00007	OQ475017.1_00030
OG0000001	L63545.1_00035	OQ475017.1_00008
OG0000002	L63545.1_00079	OQ475017.1_00007
OG0000003	L63545.1_00076	OQ475017.1_00015
OG0000004	L63545.1_00001	OQ475017.1_00110
OG0000005	L63545.1_00056	OQ475017.1_00093
OG0000006	L63545.1_00093	OQ475017.1_00073
OG0000007	L63545.1_00090	OQ475017.1_00087
OG0000008	L63545.1_00108	OQ475017.1_00029
OG0000009	L63545.1_00024	OQ475017.1_00112
OG0000011	L63545.1_00069	OQ475017.1_00062
OG0000012	L63545.1_00071	OQ475017.1_00022
OG0000013	L63545.1_00004	OQ475017.1_00056
OG0000014	L63545.1_00030	OQ475017.1_00120
OG0000015	L63545.1_00110	OQ475017.1_00121
OG0000016	L63545.1_00073	OQ475017.1_00084
OG0000017	L63545.1_00072	OQ475017.1_00033
OG0000018	L63545.1_00068	OQ475017.1_00105
OG0000019	L63545.1_00009	OQ475017.1_00083
OG0000020	L63545.1_00098	OQ475017.1_00031
OG0000021	L63545.1_00043	OQ475017.1_00005
OG0000022	L63545.1_00013	OQ475017.1_00035
OG0000023	L63545.1_00054	OQ475017.1_00044
OG0000024	L63545.1_00015	OQ475017.1_00027
OG0000026	L63545.1_00002	OQ475017.1_00108
OG0000027	L63545.1_00058	OQ475017.1_00085
OG0000028	L63545.1_00003	OQ475017.1_00047
