Orthogroup	L63545.1	OL774655.1
OG0000000	L63545.1_00007	OL774655.1_00034
OG0000001	L63545.1_00035	OL774655.1_00008
OG0000002	L63545.1_00079	OL774655.1_00007
OG0000003	L63545.1_00076	OL774655.1_00015
OG0000004	L63545.1_00001	OL774655.1_00113
OG0000005	L63545.1_00056	OL774655.1_00096
OG0000006	L63545.1_00093	OL774655.1_00078
OG0000007	L63545.1_00090	OL774655.1_00091
OG0000008	L63545.1_00108	OL774655.1_00033
OG0000009	L63545.1_00024	OL774655.1_00115
OG0000011	L63545.1_00069	OL774655.1_00066
OG0000012	L63545.1_00071	OL774655.1_00022
OG0000013	L63545.1_00004	OL774655.1_00060
OG0000014	L63545.1_00030	OL774655.1_00123
OG0000015	L63545.1_00110	OL774655.1_00124
OG0000016	L63545.1_00073	OL774655.1_00088
OG0000017	L63545.1_00072	OL774655.1_00037
OG0000018	L63545.1_00068	OL774655.1_00108
OG0000019	L63545.1_00009	OL774655.1_00087
OG0000020	L63545.1_00098	OL774655.1_00035
OG0000021	L63545.1_00043	OL774655.1_00005
OG0000022	L63545.1_00013	OL774655.1_00039
OG0000023	L63545.1_00054	OL774655.1_00048
OG0000024	L63545.1_00015	OL774655.1_00030
OG0000026	L63545.1_00002	OL774655.1_00111
OG0000027	L63545.1_00058	OL774655.1_00089
OG0000028	L63545.1_00003	OL774655.1_00051
