Orthogroup	L63545.1	LS484712.1
OG0000000	L63545.1_00007	LS484712.1_00114
OG0000001	L63545.1_00035	LS484712.1_00095
OG0000002	L63545.1_00079	LS484712.1_00142
OG0000003	L63545.1_00076	LS484712.1_00187
OG0000005	L63545.1_00056	LS484712.1_00256
OG0000006	L63545.1_00093	LS484712.1_00040
OG0000007	L63545.1_00090	LS484712.1_00234, LS484712.1_00050
OG0000008	L63545.1_00108	LS484712.1_00248
OG0000009	L63545.1_00024	LS484712.1_00130
OG0000011	L63545.1_00069	LS484712.1_00203
OG0000012	L63545.1_00071	LS484712.1_00200
OG0000013	L63545.1_00004	LS484712.1_00143
OG0000014	L63545.1_00030	LS484712.1_00202
OG0000015	L63545.1_00110	LS484712.1_00135
OG0000016	L63545.1_00073	LS484712.1_00048
OG0000017	L63545.1_00072	LS484712.1_00240
OG0000018	L63545.1_00068	LS484712.1_00053
OG0000019	L63545.1_00009	LS484712.1_00192
OG0000020	L63545.1_00098	LS484712.1_00188
OG0000021	L63545.1_00043	LS484712.1_00096
OG0000022	L63545.1_00013	LS484712.1_00194
OG0000023	L63545.1_00054	LS484712.1_00117
OG0000024	L63545.1_00015	LS484712.1_00149
OG0000134	L63545.1_00092	LS484712.1_00057
OG0000135	L63545.1_00016	LS484712.1_00197
OG0000137	L63545.1_00100	LS484712.1_00251
OG0000138	L63545.1_00023	LS484712.1_00063
