Orthogroup	L63545.1	NC_027778.1
OG0000000	L63545.1_00007	NC_027778.1_00083
OG0000001	L63545.1_00035	NC_027778.1_00062
OG0000002	L63545.1_00079	NC_027778.1_00061
OG0000003	L63545.1_00076	NC_027778.1_00068
OG0000004	L63545.1_00001	NC_027778.1_00040
OG0000005	L63545.1_00056	NC_027778.1_00036
OG0000006	L63545.1_00093	NC_027778.1_00098
OG0000007	L63545.1_00090	NC_027778.1_00032
OG0000008	L63545.1_00108	NC_027778.1_00080
OG0000009	L63545.1_00024	NC_027778.1_00039
OG0000011	L63545.1_00069	NC_027778.1_00111
OG0000012	L63545.1_00071	NC_027778.1_00077
OG0000013	L63545.1_00004	NC_027778.1_00018
OG0000014	L63545.1_00030	NC_027778.1_00038
OG0000015	L63545.1_00110	NC_027778.1_00116
OG0000016	L63545.1_00073	NC_027778.1_00027
OG0000017	L63545.1_00072	NC_027778.1_00132
OG0000018	L63545.1_00068	NC_027778.1_00043
OG0000019	L63545.1_00009	NC_027778.1_00026
OG0000020	L63545.1_00098	NC_027778.1_00133
OG0000021	L63545.1_00043	NC_027778.1_00106
OG0000022	L63545.1_00013	NC_027778.1_00129
OG0000023	L63545.1_00054	NC_027778.1_00003
OG0000024	L63545.1_00015	NC_027778.1_00054
OG0000026	L63545.1_00002	NC_027778.1_00042
OG0000027	L63545.1_00058	NC_027778.1_00029
OG0000028	L63545.1_00003	NC_027778.1_00006
OG0000151	L63545.1_00085	NC_027778.1_00119
OG0000161	L63545.1_00087	NC_027778.1_00082
