Orthogroup	MN562489	NC_005946
OG0000000	OM037668.1_00035 hypothetical protein	NC_005946.1_00010 hypothetical protein
OG0000001	OM037668.1_00056 hypothetical protein	NC_005946.1_00053 hypothetical protein
OG0000002	SDDV_ORF050 RING E3 ubiquitin ligase, OM037668.1_00050 hypothetical protein	NC_005946.1_00057 hypothetical protein
OG0000003	SDDV_ORF038 Flap endonuclease	NC_005946.1_00095 hypothetical protein
OG0000004	OM037668.1_00077 hypothetical protein	NC_005946.1_00092 hypothetical protein
OG0000005	OM037668.1_00013 hypothetical protein	NC_005946.1_00038 hypothetical protein
OG0000006	OM037668.1_00057 Major capsid protein	NC_005946.1_00091 Major capsid protein
OG0000007	OM037668.1_00041 hypothetical protein	NC_005946.1_00060 hypothetical protein
OG0000008	OM037668.1_00123 hypothetical protein	NC_005946.1_00083 hypothetical protein
OG0000009	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000010	OM037668.1_00098 hypothetical protein	NC_005946.1_00022 hypothetical protein
OG0000011	OM037668.1_00009 hypothetical protein	NC_005946.1_00011 hypothetical protein
OG0000012	OM037668.1_00090 hypothetical protein	NC_005946.1_00094 hypothetical protein
OG0000013	OM037668.1_00084 hypothetical protein	NC_005946.1_00002 hypothetical protein
OG0000014	OM037668.1_00073 hypothetical protein	NC_005946.1_00023 hypothetical protein
OG0000015	OM037668.1_00078 hypothetical protein	NC_005946.1_00016 hypothetical protein
OG0000016	OM037668.1_00004 hypothetical protein	NC_005946.1_00021 hypothetical protein
OG0000017	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	NC_005946.1_00067 hypothetical protein
OG0000018	OM037668.1_00124 hypothetical protein	NC_005946.1_00087 hypothetical protein
OG0000019	OM037668.1_00021 hypothetical protein	NC_005946.1_00042 hypothetical protein
OG0000020	OM037668.1_00089 hypothetical protein	NC_005946.1_00082 hypothetical protein
OG0000021	OM037668.1_00080 hypothetical protein	NC_005946.1_00014 hypothetical protein
OG0000022	OM037668.1_00076 hypothetical protein	NC_005946.1_00028 hypothetical protein
OG0000024	OM037668.1_00113 hypothetical protein	NC_005946.1_00089 hypothetical protein
OG0000026	OM037668.1_00087 hypothetical protein	NC_005946.1_00049 hypothetical protein
OG0000027	OM037668.1_00074 hypothetical protein	NC_005946.1_00086 hypothetical protein
OG0000028	OM037668.1_00110 hypothetical protein	NC_005946.1_00085 hypothetical protein
OG0000149	OM037668.1_00001 hypothetical protein	NC_005946.1_00052 hypothetical protein
OG0000205	OM037668.1_00063 hypothetical protein	NC_005946.1_00007 hypothetical protein
