Orthogroup	MT986830.1	MN803438.1
OG0000000	MT986830.1_00033	MN803438.1_00124
OG0000001	MT986830.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000002	MT986830.1_00007	MN803438.1_00023
OG0000003	MT986830.1_00015	MN803438.1_00113
OG0000004	MT986830.1_00116	MN803438.1_00104
OG0000005	MT986830.1_00100	MN803438.1_00071
OG0000006	MT986830.1_00080	MN803438.1_00142
OG0000007	MT986830.1_00094	MN803438.1_00027
OG0000008	MT986830.1_00032	MN803438.1_00106
OG0000009	MT986830.1_00117	MN803438.1_00109
OG0000011	MT986830.1_00065	MN803438.1_00049
OG0000012	MT986830.1_00022	MN803438.1_00128
OG0000013	MT986830.1_00059	MN803438.1_00007
OG0000014	MT986830.1_00125	MN803438.1_00070
OG0000015	MT986830.1_00126	MN803438.1_00046
OG0000016	MT986830.1_00091	MN803438.1_00122
OG0000017	MT986830.1_00036	MN803438.1_00035
OG0000018	MT986830.1_00111	MN803438.1_00051
OG0000019	MT986830.1_00090	MN803438.1_00097
OG0000020	MT986830.1_00034	MN803438.1_00068
OG0000021	MT986830.1_00005	MN803438.1_00089
OG0000022	MT986830.1_00038	MN803438.1_00013
OG0000023	MT986830.1_00046	MN803438.1_00077
OG0000024	MT986830.1_00029	MN803438.1_00024
OG0000026	MT986830.1_00114	MN803438.1_00126
OG0000027	MT986830.1_00092	MN803438.1_00037
OG0000028	MT986830.1_00049	MN803438.1_00054
OG0000031	MT986830.1_00006	MN803438.1_00145
OG0000129	MT986830.1_00076	MN803438.1_00082
