Orthogroup	MT986830.1	KT804738.1
OG0000000	MT986830.1_00033	KT804738.1_00029
OG0000001	MT986830.1_00008	KT804738.1_00008
OG0000002	MT986830.1_00007	KT804738.1_00007
OG0000003	MT986830.1_00015	KT804738.1_00015
OG0000004	MT986830.1_00116	KT804738.1_00109
OG0000005	MT986830.1_00100	KT804738.1_00092
OG0000006	MT986830.1_00080	KT804738.1_00072
OG0000007	MT986830.1_00094	KT804738.1_00086
OG0000008	MT986830.1_00032	KT804738.1_00028
OG0000009	MT986830.1_00117	KT804738.1_00111
OG0000010	MT986830.1_00081	KT804738.1_00073
OG0000011	MT986830.1_00065	KT804738.1_00060
OG0000012	MT986830.1_00022	KT804738.1_00021
OG0000013	MT986830.1_00059	KT804738.1_00055
OG0000014	MT986830.1_00125	KT804738.1_00119
OG0000015	MT986830.1_00126	KT804738.1_00120
OG0000016	MT986830.1_00091	KT804738.1_00083
OG0000017	MT986830.1_00036	KT804738.1_00032
OG0000018	MT986830.1_00111	KT804738.1_00104
OG0000019	MT986830.1_00090	KT804738.1_00082
OG0000020	MT986830.1_00034	KT804738.1_00030
OG0000021	MT986830.1_00005	KT804738.1_00005
OG0000022	MT986830.1_00038	KT804738.1_00034
OG0000023	MT986830.1_00046	KT804738.1_00043
OG0000024	MT986830.1_00029	KT804738.1_00025
OG0000025	MT986830.1_00066	KT804738.1_00061
OG0000026	MT986830.1_00114	KT804738.1_00107
OG0000027	MT986830.1_00092	KT804738.1_00084
OG0000028	MT986830.1_00049	KT804738.1_00046
OG0000029	MT986830.1_00063	KT804738.1_00058
OG0000030	MT986830.1_00001	KT804738.1_00001
OG0000031	MT986830.1_00006	KT804738.1_00006
OG0000032	MT986830.1_00085	KT804738.1_00077
OG0000033	MT986830.1_00093	KT804738.1_00085
OG0000034	MT986830.1_00127	KT804738.1_00121
OG0000035	MT986830.1_00013	KT804738.1_00013
OG0000036	MT986830.1_00014	KT804738.1_00014
OG0000037	MT986830.1_00019	KT804738.1_00019
OG0000038	MT986830.1_00020	KT804738.1_00020
OG0000039	MT986830.1_00023	KT804738.1_00022
OG0000040	MT986830.1_00024	KT804738.1_00023
OG0000041	MT986830.1_00035	KT804738.1_00031
OG0000042	MT986830.1_00039	KT804738.1_00035
OG0000043	MT986830.1_00051	KT804738.1_00047
OG0000044	MT986830.1_00052	KT804738.1_00048
OG0000045	MT986830.1_00057	KT804738.1_00053
OG0000046	MT986830.1_00058	KT804738.1_00054
OG0000048	MT986830.1_00061	KT804738.1_00056
OG0000049	MT986830.1_00062	KT804738.1_00057
OG0000050	MT986830.1_00082	KT804738.1_00074
OG0000051	MT986830.1_00086	KT804738.1_00078
OG0000052	MT986830.1_00087	KT804738.1_00079
OG0000053	MT986830.1_00099	KT804738.1_00091
OG0000054	MT986830.1_00101	KT804738.1_00093
OG0000055	MT986830.1_00104	KT804738.1_00096
OG0000056	MT986830.1_00115	KT804738.1_00108
OG0000057	MT986830.1_00119	KT804738.1_00113
OG0000058	MT986830.1_00121	KT804738.1_00115
OG0000059	MT986830.1_00002	KT804738.1_00002
OG0000060	MT986830.1_00010	KT804738.1_00010
