Orthogroup	MT986830.1	LS484712.1
OG0000000	MT986830.1_00033	LS484712.1_00114
OG0000001	MT986830.1_00008	LS484712.1_00095
OG0000002	MT986830.1_00007	LS484712.1_00142
OG0000003	MT986830.1_00015	LS484712.1_00187
OG0000005	MT986830.1_00100	LS484712.1_00256
OG0000006	MT986830.1_00080	LS484712.1_00040
OG0000007	MT986830.1_00094	LS484712.1_00234, LS484712.1_00050
OG0000008	MT986830.1_00032	LS484712.1_00248
OG0000009	MT986830.1_00117	LS484712.1_00130
OG0000011	MT986830.1_00065	LS484712.1_00203
OG0000012	MT986830.1_00022	LS484712.1_00200
OG0000013	MT986830.1_00059	LS484712.1_00143
OG0000014	MT986830.1_00125	LS484712.1_00202
OG0000015	MT986830.1_00126	LS484712.1_00135
OG0000016	MT986830.1_00091	LS484712.1_00048
OG0000017	MT986830.1_00036	LS484712.1_00240
OG0000018	MT986830.1_00111	LS484712.1_00053
OG0000019	MT986830.1_00090	LS484712.1_00192
OG0000020	MT986830.1_00034	LS484712.1_00188
OG0000021	MT986830.1_00005	LS484712.1_00096
OG0000022	MT986830.1_00038	LS484712.1_00194
OG0000023	MT986830.1_00046	LS484712.1_00117
OG0000024	MT986830.1_00029	LS484712.1_00149
OG0000068	MT986830.1_00069	LS484712.1_00002
