Orthogroup	LS484712.1	OM037668.1
OG0000000	LS484712.1_00114	OM037668.1_00035
OG0000001	LS484712.1_00095	OM037668.1_00056
OG0000002	LS484712.1_00142	OM037668.1_00057
OG0000003	LS484712.1_00187	OM037668.1_00050
OG0000005	LS484712.1_00256	OM037668.1_00080
OG0000006	LS484712.1_00040	OM037668.1_00021
OG0000007	LS484712.1_00234, LS484712.1_00050	OM037668.1_00084
OG0000008	LS484712.1_00248	OM037668.1_00038
OG0000009	LS484712.1_00130	OM037668.1_00077
OG0000011	LS484712.1_00203	OM037668.1_00009
OG0000012	LS484712.1_00200	OM037668.1_00041
OG0000013	LS484712.1_00143	OM037668.1_00098
OG0000014	LS484712.1_00202	OM037668.1_00078
OG0000015	LS484712.1_00135	OM037668.1_00004
OG0000016	LS484712.1_00048	OM037668.1_00089
OG0000017	LS484712.1_00240	OM037668.1_00124
OG0000018	LS484712.1_00053	OM037668.1_00073
OG0000019	LS484712.1_00192	OM037668.1_00090
OG0000020	LS484712.1_00188	OM037668.1_00123
OG0000021	LS484712.1_00096	OM037668.1_00013
OG0000022	LS484712.1_00194	OM037668.1_00127
OG0000023	LS484712.1_00117	OM037668.1_00113
OG0000024	LS484712.1_00149	OM037668.1_00064
OG0000211	LS484712.1_00024	OM037668.1_00017
