Orthogroup	LS484712.1	MK098185.1
OG0000000	LS484712.1_00114	MK098185.1_00033
OG0000001	LS484712.1_00095	MK098185.1_00008
OG0000002	LS484712.1_00142	MK098185.1_00007
OG0000003	LS484712.1_00187	MK098185.1_00015
OG0000005	LS484712.1_00256	MK098185.1_00095
OG0000006	LS484712.1_00040	MK098185.1_00076
OG0000007	LS484712.1_00234, LS484712.1_00050	MK098185.1_00090
OG0000008	LS484712.1_00248	MK098185.1_00032
OG0000009	LS484712.1_00130	MK098185.1_00114
OG0000011	LS484712.1_00203	MK098185.1_00064
OG0000012	LS484712.1_00200	MK098185.1_00022
OG0000013	LS484712.1_00143	MK098185.1_00058
OG0000014	LS484712.1_00202	MK098185.1_00122
OG0000015	LS484712.1_00135	MK098185.1_00123
OG0000016	LS484712.1_00048	MK098185.1_00087
OG0000017	LS484712.1_00240	MK098185.1_00036
OG0000018	LS484712.1_00053	MK098185.1_00107
OG0000019	LS484712.1_00192	MK098185.1_00086
OG0000020	LS484712.1_00188	MK098185.1_00034
OG0000021	LS484712.1_00096	MK098185.1_00005
OG0000022	LS484712.1_00194	MK098185.1_00038
OG0000023	LS484712.1_00117	MK098185.1_00047
OG0000024	LS484712.1_00149	MK098185.1_00029
OG0000068	LS484712.1_00002	MK098185.1_00068
