Orthogroup	LS484712.1	MN432490.1
OG0000000	LS484712.1_00114	MN432490.1_00032
OG0000001	LS484712.1_00095	MN432490.1_00008
OG0000002	LS484712.1_00142	MN432490.1_00007
OG0000003	LS484712.1_00187	MN432490.1_00015
OG0000005	LS484712.1_00256	MN432490.1_00097
OG0000006	LS484712.1_00040	MN432490.1_00078
OG0000007	LS484712.1_00234, LS484712.1_00050	MN432490.1_00092
OG0000008	LS484712.1_00248	MN432490.1_00031
OG0000009	LS484712.1_00130	MN432490.1_00114
OG0000011	LS484712.1_00203	MN432490.1_00064
OG0000012	LS484712.1_00200	MN432490.1_00023
OG0000013	LS484712.1_00143	MN432490.1_00058
OG0000014	LS484712.1_00202	MN432490.1_00122
OG0000015	LS484712.1_00135	MN432490.1_00123
OG0000016	LS484712.1_00048	MN432490.1_00089
OG0000017	LS484712.1_00240	MN432490.1_00035
OG0000018	LS484712.1_00053	MN432490.1_00108
OG0000019	LS484712.1_00192	MN432490.1_00088
OG0000020	LS484712.1_00188	MN432490.1_00033
OG0000021	LS484712.1_00096	MN432490.1_00005
OG0000022	LS484712.1_00194	MN432490.1_00037
OG0000023	LS484712.1_00117	MN432490.1_00046
OG0000024	LS484712.1_00149	MN432490.1_00028
OG0000068	LS484712.1_00002	MN432490.1_00067
