Orthogroup	LS484712.1	AF303741.1
OG0000000	LS484712.1_00114	AF303741.1_00079, AF303741.1_00152
OG0000001	LS484712.1_00095	AF303741.1_00200, AF303741.1_00047
OG0000002	LS484712.1_00142	AF303741.1_00125
OG0000003	LS484712.1_00187	AF303741.1_00035
OG0000005	LS484712.1_00256	AF303741.1_00129
OG0000006	LS484712.1_00040	AF303741.1_00132
OG0000007	LS484712.1_00234, LS484712.1_00050	AF303741.1_00149
OG0000008	LS484712.1_00248	AF303741.1_00165
OG0000009	LS484712.1_00130	AF303741.1_00176
OG0000011	LS484712.1_00203	AF303741.1_00006
OG0000012	LS484712.1_00200	AF303741.1_00011
OG0000013	LS484712.1_00143	AF303741.1_00023
OG0000014	LS484712.1_00202	AF303741.1_00026
OG0000015	LS484712.1_00135	AF303741.1_00046
OG0000016	LS484712.1_00048	AF303741.1_00062
OG0000017	LS484712.1_00240	AF303741.1_00063
OG0000018	LS484712.1_00053	AF303741.1_00081
OG0000019	LS484712.1_00192	AF303741.1_00137
OG0000020	LS484712.1_00188	AF303741.1_00156
OG0000021	LS484712.1_00096	AF303741.1_00158
OG0000022	LS484712.1_00194	AF303741.1_00189
OG0000023	LS484712.1_00117	AF303741.1_00154
OG0000024	LS484712.1_00149	AF303741.1_00168
OG0000123	LS484712.1_00198	AF303741.1_00195, AF303741.1_00178, AF303741.1_00121
OG0000134	LS484712.1_00057	AF303741.1_00126
OG0000135	LS484712.1_00197	AF303741.1_00157
OG0000137	LS484712.1_00251	AF303741.1_00031
OG0000138	LS484712.1_00063	AF303741.1_00100, AF303741.1_00162
OG0000148	LS484712.1_00133	AF303741.1_00072
OG0000153	LS484712.1_00211	AF303741.1_00145, AF303741.1_00090
OG0000166	LS484712.1_00116	AF303741.1_00056
OG0000167	LS484712.1_00113	AF303741.1_00068, AF303741.1_00067
OG0000168	LS484712.1_00140	AF303741.1_00076
OG0000169	LS484712.1_00195	AF303741.1_00087
OG0000170	LS484712.1_00212	AF303741.1_00091
OG0000171	LS484712.1_00112	AF303741.1_00096
OG0000174	LS484712.1_00184	AF303741.1_00179
OG0000193	LS484712.1_00196	AF303741.1_00122
OG0000195	LS484712.1_00224	AF303741.1_00146
OG0000198	LS484712.1_00060	AF303741.1_00151
OG0000201	LS484712.1_00163	AF303741.1_00177
OG0000202	LS484712.1_00120	AF303741.1_00184
OG0000203	LS484712.1_00106	AF303741.1_00193
OG0000214	LS484712.1_00052	AF303741.1_00008
OG0000221	LS484712.1_00233	AF303741.1_00074
