Orthogroup	LS484712.1	MT926123.1
OG0000000	LS484712.1_00114	MT926123.1_00032
OG0000001	LS484712.1_00095	MT926123.1_00008
OG0000002	LS484712.1_00142	MT926123.1_00007
OG0000003	LS484712.1_00187	MT926123.1_00015
OG0000005	LS484712.1_00256	MT926123.1_00096
OG0000006	LS484712.1_00040	MT926123.1_00079
OG0000007	LS484712.1_00234, LS484712.1_00050	MT926123.1_00093
OG0000008	LS484712.1_00248	MT926123.1_00031
OG0000009	LS484712.1_00130	MT926123.1_00113
OG0000011	LS484712.1_00203	MT926123.1_00065
OG0000012	LS484712.1_00200	MT926123.1_00022
OG0000013	LS484712.1_00143	MT926123.1_00058
OG0000014	LS484712.1_00202	MT926123.1_00120
OG0000015	LS484712.1_00135	MT926123.1_00121
OG0000016	LS484712.1_00048	MT926123.1_00090
OG0000017	LS484712.1_00240	MT926123.1_00035
OG0000018	LS484712.1_00053	MT926123.1_00107
OG0000019	LS484712.1_00192	MT926123.1_00089
OG0000020	LS484712.1_00188	MT926123.1_00033
OG0000021	LS484712.1_00096	MT926123.1_00005
OG0000022	LS484712.1_00194	MT926123.1_00037
OG0000023	LS484712.1_00117	MT926123.1_00046
OG0000024	LS484712.1_00149	MT926123.1_00028
OG0000068	LS484712.1_00002	MT926123.1_00069
