Orthogroup	KT804738.1	KF938901.1
OG0000000	KT804738.1_00029	KF938901.1_00126
OG0000001	KT804738.1_00008	KF938901.1_00080
OG0000002	KT804738.1_00007	KF938901.1_00044
OG0000003	KT804738.1_00015	KF938901.1_00005
OG0000004	KT804738.1_00109	KF938901.1_00043
OG0000005	KT804738.1_00092	KF938901.1_00125
OG0000006	KT804738.1_00072	KF938901.1_00072
OG0000007	KT804738.1_00086	KF938901.1_00053
OG0000008	KT804738.1_00028	KF938901.1_00067
OG0000009	KT804738.1_00111	KF938901.1_00114
OG0000011	KT804738.1_00060	KF938901.1_00092
OG0000012	KT804738.1_00021	KF938901.1_00054
OG0000013	KT804738.1_00055	KF938901.1_00060
OG0000014	KT804738.1_00119	KF938901.1_00074
OG0000015	KT804738.1_00120	KF938901.1_00095
OG0000016	KT804738.1_00083	KF938901.1_00046
OG0000017	KT804738.1_00032	KF938901.1_00123
OG0000018	KT804738.1_00104	KF938901.1_00025
OG0000019	KT804738.1_00082	KF938901.1_00012
OG0000020	KT804738.1_00030	KF938901.1_00047
OG0000021	KT804738.1_00005	KF938901.1_00124
OG0000022	KT804738.1_00034	KF938901.1_00023
OG0000023	KT804738.1_00043	KF938901.1_00031
OG0000024	KT804738.1_00025	KF938901.1_00094
OG0000025	KT804738.1_00061	KF938901.1_00093
