Orthogroup	KT804738.1	OK042109.1
OG0000000	KT804738.1_00029	OK042109.1_00047
OG0000001	KT804738.1_00008	OK042109.1_00068
OG0000002	KT804738.1_00007	OK042109.1_00069
OG0000003	KT804738.1_00015	OK042109.1_00061
OG0000004	KT804738.1_00109	OK042109.1_00088
OG0000005	KT804738.1_00092	OK042109.1_00105
OG0000006	KT804738.1_00072	OK042109.1_00001
OG0000007	KT804738.1_00086	OK042109.1_00110
OG0000008	KT804738.1_00028	OK042109.1_00048
OG0000009	KT804738.1_00111	OK042109.1_00086
OG0000010	KT804738.1_00073	OK042109.1_00123
OG0000011	KT804738.1_00060	OK042109.1_00013
OG0000012	KT804738.1_00021	OK042109.1_00054
OG0000013	KT804738.1_00055	OK042109.1_00020
OG0000014	KT804738.1_00119	OK042109.1_00078
OG0000015	KT804738.1_00120	OK042109.1_00077
OG0000016	KT804738.1_00083	OK042109.1_00113
OG0000017	KT804738.1_00032	OK042109.1_00044
OG0000018	KT804738.1_00104	OK042109.1_00093
OG0000019	KT804738.1_00082	OK042109.1_00114
OG0000020	KT804738.1_00030	OK042109.1_00046
OG0000021	KT804738.1_00005	OK042109.1_00071
OG0000022	KT804738.1_00034	OK042109.1_00042
OG0000023	KT804738.1_00043	OK042109.1_00033
OG0000024	KT804738.1_00025	OK042109.1_00051
OG0000026	KT804738.1_00107	OK042109.1_00090
OG0000027	KT804738.1_00084	OK042109.1_00112
OG0000028	KT804738.1_00046	OK042109.1_00030
OG0000029	KT804738.1_00058	OK042109.1_00015
OG0000030	KT804738.1_00001	OK042109.1_00075
OG0000031	KT804738.1_00006	OK042109.1_00070
OG0000032	KT804738.1_00077	OK042109.1_00119
OG0000033	KT804738.1_00085	OK042109.1_00111
OG0000034	KT804738.1_00121	OK042109.1_00076
OG0000035	KT804738.1_00013	OK042109.1_00063
OG0000036	KT804738.1_00014	OK042109.1_00062
OG0000037	KT804738.1_00019	OK042109.1_00057
OG0000038	KT804738.1_00020	OK042109.1_00056
OG0000039	KT804738.1_00022	OK042109.1_00053
OG0000040	KT804738.1_00023	OK042109.1_00052
OG0000041	KT804738.1_00031	OK042109.1_00045
OG0000042	KT804738.1_00035	OK042109.1_00041
OG0000043	KT804738.1_00047	OK042109.1_00028
OG0000044	KT804738.1_00048	OK042109.1_00027
OG0000045	KT804738.1_00053	OK042109.1_00022
OG0000046	KT804738.1_00054	OK042109.1_00021
OG0000048	KT804738.1_00056	OK042109.1_00017
OG0000049	KT804738.1_00057	OK042109.1_00016
OG0000050	KT804738.1_00074	OK042109.1_00122
OG0000051	KT804738.1_00078	OK042109.1_00118
OG0000052	KT804738.1_00079	OK042109.1_00117
OG0000053	KT804738.1_00091	OK042109.1_00106
OG0000054	KT804738.1_00093	OK042109.1_00104
OG0000055	KT804738.1_00096	OK042109.1_00101
OG0000056	KT804738.1_00108	OK042109.1_00089
OG0000057	KT804738.1_00113	OK042109.1_00084
OG0000058	KT804738.1_00115	OK042109.1_00082
